"Date","Time","Open","High","Low","Close","Up","Down","PredHigh"
01/13/2025,01:01,5916.75,5917.25,5907.75,5913.25,975,1096,0.00
01/13/2025,01:02,5913.25,5916.00,5911.25,5912.25,564,444,0.00
01/13/2025,01:03,5912.25,5912.50,5908.75,5909.25,306,405,0.00
01/13/2025,01:04,5909.25,5911.00,5909.25,5910.50,176,228,0.00
01/13/2025,01:05,5910.75,5911.75,5907.50,5908.50,138,282,0.00
01/13/2025,01:06,5908.25,5908.50,5903.75,5904.50,404,625,0.00
01/13/2025,01:07,5904.00,5905.75,5900.50,5901.25,276,456,0.00
01/13/2025,01:08,5901.00,5905.75,5900.25,5904.75,453,462,0.00
01/13/2025,01:09,5905.00,5905.50,5901.75,5903.25,200,230,0.00
01/13/2025,01:10,5903.75,5904.50,5902.75,5904.25,157,172,0.00
01/13/2025,01:11,5904.75,5906.00,5904.00,5905.75,182,171,0.00
01/13/2025,01:12,5905.75,5906.25,5904.25,5904.75,150,137,0.00
01/13/2025,01:13,5905.00,5908.25,5905.00,5908.00,303,108,0.00
01/13/2025,01:14,5908.25,5908.50,5906.25,5906.75,148,182,0.00
01/13/2025,01:15,5907.00,5910.25,5906.75,5910.00,362,120,0.00
01/13/2025,01:16,5910.00,5912.75,5910.00,5912.00,478,203,0.00
01/13/2025,01:17,5911.75,5912.75,5911.00,5912.00,163,195,0.00
01/13/2025,01:18,5911.75,5912.00,5911.75,5911.75,52,56,0.00
01/13/2025,01:19,5912.00,5913.00,5911.75,5912.75,159,29,0.00
01/13/2025,01:20,5912.75,5913.25,5912.50,5913.00,106,47,0.00
01/13/2025,01:21,5913.00,5913.25,5912.00,5913.00,75,118,0.00
01/13/2025,01:22,5912.75,5913.00,5911.50,5911.75,80,91,0.00
01/13/2025,01:23,5911.75,5912.50,5910.75,5912.50,173,162,0.00
01/13/2025,01:24,5912.75,5913.00,5911.75,5912.50,113,50,0.00
01/13/2025,01:25,5912.25,5913.00,5911.75,5913.00,51,74,0.00
01/13/2025,01:26,5913.00,5913.25,5912.00,5912.50,67,102,0.00
01/13/2025,01:27,5913.00,5914.00,5913.00,5913.50,156,71,0.00
01/13/2025,01:28,5913.75,5914.50,5913.25,5914.25,140,77,0.00
01/13/2025,01:29,5914.50,5914.75,5913.75,5914.50,132,108,0.00
01/13/2025,01:30,5914.25,5914.75,5913.75,5914.75,59,52,0.00
01/13/2025,01:31,5914.75,5917.00,5914.75,5916.75,438,298,0.00
01/13/2025,01:32,5916.75,5918.25,5916.75,5918.00,508,315,0.00
01/13/2025,01:33,5918.00,5918.75,5917.25,5918.25,161,113,0.00
01/13/2025,01:34,5918.00,5919.50,5917.75,5919.00,138,151,0.00
01/13/2025,01:35,5919.00,5919.75,5918.25,5918.75,123,191,0.00
01/13/2025,01:36,5919.00,5919.25,5918.00,5918.50,98,86,0.00
01/13/2025,01:37,5918.75,5919.50,5918.25,5918.50,69,49,0.00
01/13/2025,01:38,5918.25,5918.50,5917.00,5917.50,299,263,0.00
01/13/2025,01:39,5917.75,5919.00,5917.75,5918.50,140,103,0.00
01/13/2025,01:40,5918.50,5918.75,5917.75,5918.00,51,104,0.00
01/13/2025,01:41,5917.50,5919.00,5917.50,5918.50,106,67,0.00
01/13/2025,01:42,5918.50,5919.00,5918.50,5918.50,55,70,0.00
01/13/2025,01:43,5918.75,5919.00,5918.00,5918.50,62,47,0.00
01/13/2025,01:44,5918.50,5919.25,5918.00,5919.25,96,34,0.00
01/13/2025,01:45,5919.00,5919.25,5918.50,5918.75,47,75,0.00
01/13/2025,01:46,5918.50,5918.75,5916.75,5917.50,66,157,0.00
01/13/2025,01:47,5917.25,5918.50,5917.25,5918.25,89,77,0.00
01/13/2025,01:48,5918.25,5918.25,5914.50,5915.00,93,381,0.00
01/13/2025,01:49,5914.75,5914.75,5909.25,5912.00,728,1138,0.00
01/13/2025,01:50,5912.00,5912.00,5909.00,5911.00,320,315,0.00
01/13/2025,01:51,5911.25,5913.00,5909.75,5909.75,135,216,0.00
01/13/2025,01:52,5909.75,5911.50,5908.50,5911.00,219,179,0.00
01/13/2025,01:53,5911.00,5913.00,5911.00,5912.50,153,90,0.00
01/13/2025,01:54,5912.75,5913.75,5911.75,5912.50,119,106,0.00
01/13/2025,01:55,5912.25,5912.50,5910.75,5911.50,59,105,0.00
01/13/2025,01:56,5911.75,5913.00,5911.75,5912.50,66,39,0.00
01/13/2025,01:57,5912.75,5915.25,5911.50,5912.75,412,276,0.00
01/13/2025,01:58,5912.75,5913.75,5912.50,5913.25,29,21,0.00
01/13/2025,01:59,5913.25,5913.25,5911.00,5911.75,51,101,0.00
01/13/2025,02:00,5912.00,5912.50,5911.50,5911.75,56,62,0.00
01/13/2025,02:01,5911.75,5916.25,5911.75,5915.75,335,173,0.00
01/13/2025,02:02,5915.75,5916.75,5913.25,5913.50,163,185,0.00
01/13/2025,02:03,5913.50,5914.25,5912.75,5912.75,65,99,0.00
01/13/2025,02:04,5913.00,5914.50,5913.00,5913.00,101,68,0.00
01/13/2025,02:05,5913.00,5915.25,5913.00,5915.00,77,25,0.00
01/13/2025,02:06,5915.25,5916.25,5914.75,5915.75,171,122,0.00
01/13/2025,02:07,5916.00,5919.25,5915.75,5917.25,402,198,0.00
01/13/2025,02:08,5917.25,5918.25,5916.50,5918.00,129,107,0.00
01/13/2025,02:09,5918.25,5919.25,5917.00,5917.75,263,173,0.00
01/13/2025,02:10,5917.50,5917.75,5917.00,5917.75,54,88,0.00
01/13/2025,02:11,5917.50,5918.00,5917.00,5917.50,27,46,0.00
01/13/2025,02:12,5917.00,5917.75,5916.75,5917.50,51,27,0.00
01/13/2025,02:13,5917.25,5919.50,5917.25,5919.25,173,60,0.00
01/13/2025,02:14,5919.25,5919.50,5918.50,5919.00,102,64,0.00
01/13/2025,02:15,5919.00,5919.25,5918.25,5918.25,51,77,0.00
01/13/2025,02:16,5918.50,5918.75,5917.00,5918.00,233,156,0.00
01/13/2025,02:17,5917.75,5919.25,5917.25,5919.25,66,37,0.00
01/13/2025,02:18,5919.25,5919.50,5918.00,5918.50,65,70,0.00
01/13/2025,02:19,5918.50,5919.75,5918.50,5919.75,100,50,0.00
01/13/2025,02:20,5919.50,5919.50,5917.75,5918.00,173,169,0.00
01/13/2025,02:21,5918.00,5918.25,5917.25,5918.00,99,83,0.00
01/13/2025,02:22,5918.00,5918.00,5917.00,5917.25,46,74,0.00
01/13/2025,02:23,5917.25,5917.75,5916.75,5917.25,99,88,0.00
01/13/2025,02:24,5917.25,5917.75,5916.75,5917.75,52,64,0.00
01/13/2025,02:25,5917.75,5918.50,5917.00,5918.00,59,44,0.00
01/13/2025,02:26,5918.25,5920.25,5918.25,5919.50,167,97,0.00
01/13/2025,02:27,5919.50,5919.50,5917.75,5917.75,16,91,0.00
01/13/2025,02:28,5917.75,5918.00,5915.75,5916.75,79,180,0.00
01/13/2025,02:29,5916.75,5917.25,5916.25,5916.25,45,67,0.00
01/13/2025,02:30,5916.25,5916.75,5914.50,5914.75,111,202,0.00
01/13/2025,02:31,5914.50,5916.00,5913.50,5916.00,108,145,0.00
01/13/2025,02:32,5916.00,5916.50,5915.00,5915.50,66,72,0.00
01/13/2025,02:33,5915.50,5916.25,5915.25,5915.75,56,54,0.00
01/13/2025,02:34,5916.00,5916.00,5914.50,5914.75,48,103,0.00
01/13/2025,02:35,5914.75,5915.75,5914.50,5915.25,59,40,0.00
01/13/2025,02:36,5915.25,5916.00,5915.00,5915.75,58,32,0.00
01/13/2025,02:37,5915.50,5916.75,5915.25,5916.25,71,94,0.00
01/13/2025,02:38,5916.00,5916.25,5914.25,5914.75,61,144,0.00
01/13/2025,02:39,5914.50,5915.00,5914.50,5914.75,43,16,0.00
01/13/2025,02:40,5914.75,5915.00,5912.50,5912.75,123,204,0.00
01/13/2025,02:41,5912.75,5912.75,5910.50,5911.00,203,402,0.00
01/13/2025,02:42,5911.25,5913.00,5911.25,5912.00,104,60,0.00
01/13/2025,02:43,5912.00,5913.00,5911.75,5913.00,61,68,0.00
01/13/2025,02:44,5913.00,5914.25,5912.00,5913.25,190,166,0.00
01/13/2025,02:45,5913.00,5913.75,5912.75,5913.75,41,30,0.00
01/13/2025,02:46,5913.75,5914.25,5913.00,5913.75,109,54,0.00
01/13/2025,02:47,5913.75,5913.75,5910.50,5910.50,51,210,0.00
01/13/2025,02:48,5910.75,5911.00,5908.75,5910.00,192,270,0.00
01/13/2025,02:49,5910.00,5910.00,5907.25,5908.75,169,316,0.00
01/13/2025,02:50,5909.00,5909.75,5908.50,5909.75,134,180,0.00
01/13/2025,02:51,5909.75,5911.25,5909.75,5910.25,116,97,0.00
01/13/2025,02:52,5910.50,5911.75,5910.50,5911.25,66,49,0.00
01/13/2025,02:53,5911.00,5911.25,5909.25,5911.00,82,79,0.00
01/13/2025,02:54,5910.75,5911.50,5910.50,5911.50,55,40,0.00
01/13/2025,02:55,5911.50,5911.75,5910.25,5911.50,62,71,0.00
01/13/2025,02:56,5911.50,5911.75,5911.00,5911.50,44,56,0.00
01/13/2025,02:57,5911.75,5914.00,5911.75,5912.75,333,188,0.00
01/13/2025,02:58,5913.00,5913.00,5909.75,5911.75,239,415,0.00
01/13/2025,02:59,5911.75,5912.00,5910.75,5911.25,81,87,0.00
01/13/2025,03:00,5911.00,5911.25,5910.25,5910.75,42,59,0.00
01/13/2025,03:01,5911.00,5911.25,5910.25,5911.00,75,122,0.00
01/13/2025,03:02,5911.25,5911.25,5910.75,5911.00,52,98,0.00
01/13/2025,03:03,5911.00,5911.25,5910.25,5910.50,42,94,0.00
01/13/2025,03:04,5910.50,5910.50,5908.75,5909.50,125,262,0.00
01/13/2025,03:05,5909.25,5910.50,5908.75,5910.50,138,64,0.00
01/13/2025,03:06,5910.25,5910.25,5907.50,5908.00,115,286,0.00
01/13/2025,03:07,5907.75,5908.00,5906.75,5906.75,132,239,0.00
01/13/2025,03:08,5907.00,5907.75,5906.25,5907.00,210,213,0.00
01/13/2025,03:09,5907.00,5908.00,5906.00,5907.50,344,237,0.00
01/13/2025,03:10,5907.50,5907.50,5906.00,5906.75,127,230,0.00
01/13/2025,03:11,5906.75,5907.25,5906.00,5907.00,110,73,0.00
01/13/2025,03:12,5907.00,5908.25,5907.00,5907.25,181,155,0.00
01/13/2025,03:13,5907.00,5907.50,5906.75,5907.25,52,36,0.00
01/13/2025,03:14,5907.25,5907.25,5903.75,5904.25,205,452,0.00
01/13/2025,03:15,5904.50,5905.00,5904.00,5904.75,136,87,0.00
01/13/2025,03:16,5904.50,5906.25,5904.25,5905.50,132,139,0.00
01/13/2025,03:17,5905.50,5906.75,5905.25,5906.00,93,64,0.00
01/13/2025,03:18,5906.00,5907.00,5906.00,5906.75,76,51,0.00
01/13/2025,03:19,5907.00,5908.25,5906.75,5907.00,181,147,0.00
01/13/2025,03:20,5906.75,5906.75,5905.75,5906.00,29,124,0.00
01/13/2025,03:21,5906.25,5907.75,5906.25,5906.50,123,92,0.00
01/13/2025,03:22,5906.25,5906.75,5905.75,5906.00,43,48,0.00
01/13/2025,03:23,5906.00,5906.50,5905.25,5906.25,91,81,0.00
01/13/2025,03:24,5906.50,5907.25,5906.25,5906.75,64,42,0.00
01/13/2025,03:25,5906.75,5907.50,5906.25,5907.00,65,73,0.00
01/13/2025,03:26,5907.00,5908.00,5907.00,5907.75,94,47,0.00
01/13/2025,03:27,5907.75,5908.50,5905.25,5905.25,113,213,0.00
01/13/2025,03:28,5905.50,5906.25,5905.00,5905.00,112,89,0.00
01/13/2025,03:29,5905.00,5905.75,5904.50,5905.00,92,83,0.00
01/13/2025,03:30,5905.25,5905.50,5903.75,5904.00,92,139,0.00
01/13/2025,03:31,5904.00,5904.25,5902.25,5902.75,216,428,0.00
01/13/2025,03:32,5902.50,5903.25,5901.50,5902.50,159,207,0.00
01/13/2025,03:33,5902.50,5902.75,5901.00,5902.00,146,203,0.00
01/13/2025,03:34,5901.75,5903.25,5901.25,5902.50,137,174,0.00
01/13/2025,03:35,5902.50,5903.50,5902.25,5902.25,79,59,0.00
01/13/2025,03:36,5902.50,5902.75,5897.25,5897.75,352,932,0.00
01/13/2025,03:37,5897.50,5899.00,5895.25,5897.25,767,873,0.00
01/13/2025,03:38,5897.00,5898.75,5896.25,5897.00,312,281,0.00
01/13/2025,03:39,5897.00,5898.75,5896.25,5898.75,248,165,0.00
01/13/2025,03:40,5898.25,5900.00,5898.25,5899.00,303,160,0.00
01/13/2025,03:41,5899.25,5899.25,5898.25,5898.75,93,106,0.00
01/13/2025,03:42,5899.00,5900.00,5898.25,5898.75,81,93,0.00
01/13/2025,03:43,5899.00,5899.00,5896.25,5897.00,215,302,0.00
01/13/2025,03:44,5897.00,5897.75,5894.00,5895.25,427,624,0.00
01/13/2025,03:45,5895.25,5896.75,5894.50,5895.50,247,217,0.00
01/13/2025,03:46,5895.25,5896.00,5894.75,5896.00,142,230,0.00
01/13/2025,03:47,5895.75,5897.00,5892.50,5892.75,312,662,0.00
01/13/2025,03:48,5893.00,5893.75,5890.75,5892.25,636,696,0.00
01/13/2025,03:49,5891.75,5895.00,5891.75,5895.00,504,155,0.00
01/13/2025,03:50,5895.00,5897.00,5894.75,5896.00,370,336,0.00
01/13/2025,03:51,5895.75,5896.50,5893.75,5894.50,374,334,0.00
01/13/2025,03:52,5894.25,5896.50,5893.50,5895.75,161,105,0.00
01/13/2025,03:53,5895.75,5898.50,5895.75,5897.25,429,249,0.00
01/13/2025,03:54,5897.25,5897.75,5896.25,5897.00,160,166,0.00
01/13/2025,03:55,5897.25,5898.00,5896.25,5896.75,118,162,0.00
01/13/2025,03:56,5896.50,5898.00,5896.00,5897.75,184,82,0.00
01/13/2025,03:57,5897.50,5898.50,5896.75,5897.75,299,180,0.00
01/13/2025,03:58,5898.00,5898.00,5896.25,5896.25,68,109,0.00
01/13/2025,03:59,5896.50,5897.00,5895.75,5896.75,171,104,0.00
01/13/2025,04:00,5896.50,5897.25,5896.25,5897.00,136,117,0.00
01/13/2025,04:01,5897.00,5897.75,5894.50,5895.00,206,342,0.00
01/13/2025,04:02,5895.00,5896.25,5894.25,5895.50,160,187,0.00
01/13/2025,04:03,5895.50,5898.00,5894.75,5897.75,237,118,0.00
01/13/2025,04:04,5897.75,5898.00,5895.75,5896.50,107,126,0.00
01/13/2025,04:05,5896.50,5897.00,5895.50,5896.75,78,148,0.00
01/13/2025,04:06,5896.50,5896.75,5895.75,5896.50,39,65,0.00
01/13/2025,04:07,5896.25,5897.75,5895.50,5897.75,142,61,0.00
01/13/2025,04:08,5897.75,5898.75,5897.25,5898.50,204,93,0.00
01/13/2025,04:09,5898.50,5899.25,5897.75,5898.25,122,159,0.00
01/13/2025,04:10,5898.25,5898.50,5897.25,5898.00,111,44,0.00
01/13/2025,04:11,5898.00,5898.25,5897.75,5897.75,25,47,0.00
01/13/2025,04:12,5898.00,5898.00,5897.00,5898.00,52,45,0.00
01/13/2025,04:13,5897.75,5897.75,5896.50,5897.00,22,62,0.00
01/13/2025,04:14,5897.00,5897.00,5895.75,5896.50,67,108,0.00
01/13/2025,04:15,5896.25,5896.75,5896.00,5896.75,32,41,0.00
01/13/2025,04:16,5896.50,5897.00,5895.25,5896.50,124,128,0.00
01/13/2025,04:17,5896.50,5898.25,5896.25,5898.00,133,99,0.00
01/13/2025,04:18,5897.75,5898.50,5897.25,5897.75,78,72,0.00
01/13/2025,04:19,5898.00,5898.50,5897.75,5898.25,64,15,0.00
01/13/2025,04:20,5898.25,5899.25,5897.75,5899.25,152,56,0.00
01/13/2025,04:21,5899.50,5899.50,5898.50,5898.50,72,90,0.00
01/13/2025,04:22,5898.50,5899.25,5898.50,5898.75,76,56,0.00
01/13/2025,04:23,5898.75,5899.50,5897.75,5898.50,49,117,0.00
01/13/2025,04:24,5898.25,5899.50,5897.75,5899.25,52,55,0.00
01/13/2025,04:25,5899.25,5899.75,5898.75,5899.25,111,126,0.00
01/13/2025,04:26,5899.50,5901.50,5899.25,5901.00,444,154,0.00
01/13/2025,04:27,5901.00,5902.00,5899.75,5900.00,260,263,0.00
01/13/2025,04:28,5900.00,5900.00,5898.25,5899.25,141,256,0.00
01/13/2025,04:29,5899.00,5900.25,5899.00,5900.00,63,56,0.00
01/13/2025,04:30,5900.00,5900.75,5899.75,5900.25,48,77,0.00
01/13/2025,04:31,5900.25,5900.50,5899.25,5899.50,64,103,0.00
01/13/2025,04:32,5899.25,5900.00,5899.25,5899.50,17,59,0.00
01/13/2025,04:33,5899.50,5899.75,5899.25,5899.50,22,17,0.00
01/13/2025,04:34,5899.50,5899.75,5899.00,5899.25,46,74,0.00
01/13/2025,04:35,5899.00,5900.25,5898.75,5900.25,38,42,0.00
01/13/2025,04:36,5900.00,5900.00,5899.25,5899.50,18,16,0.00
01/13/2025,04:37,5899.75,5900.00,5899.50,5900.00,28,5,0.00
01/13/2025,04:38,5900.00,5900.75,5900.00,5900.50,64,52,0.00
01/13/2025,04:39,5900.50,5900.75,5900.00,5900.75,76,23,0.00
01/13/2025,04:40,5900.50,5900.75,5899.25,5899.50,20,108,0.00
01/13/2025,04:41,5899.50,5900.00,5899.25,5900.00,37,41,0.00
01/13/2025,04:42,5899.75,5899.75,5897.50,5897.75,124,201,0.00
01/13/2025,04:43,5897.75,5897.75,5896.00,5896.00,150,306,0.00
01/13/2025,04:44,5896.00,5896.50,5895.50,5896.50,168,165,0.00
01/13/2025,04:45,5896.25,5897.00,5896.00,5896.00,39,106,0.00
01/13/2025,04:46,5895.75,5896.50,5895.00,5895.00,38,120,0.00
01/13/2025,04:47,5895.00,5895.25,5893.50,5894.50,187,371,0.00
01/13/2025,04:48,5894.50,5895.25,5894.00,5895.00,70,65,0.00
01/13/2025,04:49,5894.75,5895.25,5894.25,5894.75,71,81,0.00
01/13/2025,04:50,5894.75,5895.25,5894.50,5895.00,43,27,0.00
01/13/2025,04:51,5895.00,5895.50,5894.75,5894.75,60,37,0.00
01/13/2025,04:52,5895.00,5896.25,5895.00,5896.25,131,25,0.00
01/13/2025,04:53,5896.25,5896.25,5895.00,5895.00,50,89,0.00
01/13/2025,04:54,5895.00,5896.00,5895.00,5896.00,48,65,0.00
01/13/2025,04:55,5895.75,5896.00,5895.25,5895.50,35,35,0.00
01/13/2025,04:56,5895.50,5895.75,5894.00,5894.50,70,177,0.00
01/13/2025,04:57,5894.75,5895.50,5894.75,5895.50,51,17,0.00
01/13/2025,04:58,5895.50,5896.00,5895.00,5896.00,59,19,0.00
01/13/2025,04:59,5896.00,5896.00,5895.25,5895.50,29,52,0.00
01/13/2025,05:00,5895.50,5896.00,5895.00,5895.75,40,44,0.00
01/13/2025,05:01,5895.75,5897.75,5895.25,5897.50,241,152,0.00
01/13/2025,05:02,5897.50,5898.00,5896.75,5897.00,70,124,0.00
01/13/2025,05:03,5897.00,5897.25,5895.50,5896.75,83,99,0.00
01/13/2025,05:04,5896.75,5898.00,5896.75,5897.50,81,20,0.00
01/13/2025,05:05,5897.50,5897.75,5897.00,5897.25,11,40,0.00
01/13/2025,05:06,5897.00,5897.75,5896.75,5897.25,37,41,0.00
01/13/2025,05:07,5897.25,5897.50,5896.00,5897.00,33,94,0.00
01/13/2025,05:08,5897.00,5897.50,5897.00,5897.00,32,21,0.00
01/13/2025,05:09,5897.25,5897.25,5896.25,5896.75,38,62,0.00
01/13/2025,05:10,5896.75,5897.00,5895.25,5896.00,64,81,0.00
01/13/2025,05:11,5895.75,5895.75,5893.25,5894.00,172,331,0.00
01/13/2025,05:12,5894.00,5894.25,5893.25,5893.75,78,86,0.00
01/13/2025,05:13,5894.25,5894.25,5892.25,5893.00,145,323,0.00
01/13/2025,05:14,5892.75,5893.00,5891.25,5892.75,183,276,0.00
01/13/2025,05:15,5892.50,5892.50,5891.50,5891.75,77,114,0.00
01/13/2025,05:16,5891.75,5894.00,5891.75,5894.00,167,102,0.00
01/13/2025,05:17,5894.00,5894.00,5893.00,5893.50,62,71,0.00
01/13/2025,05:18,5893.75,5894.00,5893.50,5893.50,71,32,0.00
01/13/2025,05:19,5893.75,5893.75,5892.75,5893.00,30,50,0.00
01/13/2025,05:20,5892.75,5892.75,5892.25,5892.50,63,50,0.00
01/13/2025,05:21,5892.50,5893.75,5892.50,5893.50,87,31,0.00
01/13/2025,05:22,5893.75,5893.75,5891.75,5892.00,47,129,0.00
01/13/2025,05:23,5892.00,5892.25,5888.75,5890.00,402,710,0.00
01/13/2025,05:24,5890.25,5890.75,5883.25,5886.50,639,1523,0.00
01/13/2025,05:25,5886.50,5887.25,5883.25,5885.75,494,530,0.00
01/13/2025,05:26,5885.50,5887.00,5884.75,5886.25,271,265,0.00
01/13/2025,05:27,5886.50,5887.75,5885.00,5885.75,424,462,0.00
01/13/2025,05:28,5886.00,5886.00,5884.25,5885.50,158,161,0.00
01/13/2025,05:29,5885.75,5887.00,5885.50,5886.75,127,116,0.00
01/13/2025,05:30,5886.75,5889.00,5886.75,5888.50,301,138,0.00
01/13/2025,05:31,5888.75,5889.25,5888.25,5888.25,135,143,0.00
01/13/2025,05:32,5888.25,5889.00,5887.50,5888.75,113,71,0.00
01/13/2025,05:33,5888.75,5889.25,5888.25,5888.50,85,100,0.00
01/13/2025,05:34,5888.50,5888.75,5888.00,5888.75,41,43,0.00
01/13/2025,05:35,5888.50,5888.50,5887.00,5887.50,110,122,0.00
01/13/2025,05:36,5887.50,5887.50,5886.25,5887.50,183,126,0.00
