Date	Time	Open	High	Low	Close	Up	Down	Volume
11/28/2024	1:05	6137.5	6142.75	6135.75	6142.25	764	482	0
11/28/2024	1:10	6142.25	6143.75	6141.5	6141.5	556	437	993
11/28/2024	1:15	6141.75	6142.25	6140	6141.25	228	321	549
11/28/2024	1:20	6141	6141.25	6139.75	6140.75	85	136	221
11/28/2024	1:25	6141	6142.5	6141	6141.75	221	165	386
11/28/2024	1:30	6142	6142.5	6141.5	6142.25	75	67	142
11/28/2024	1:35	6142.5	6143.25	6142.25	6142.75	104	143	247
11/28/2024	1:40	6142.75	6143	6142	6142.5	79	165	244
11/28/2024	1:45	6142.5	6142.75	6142.25	6142.75	77	39	116
11/28/2024	1:50	6142.75	6143.25	6142.25	6142.25	112	92	204
11/28/2024	1:55	6142.5	6143	6142	6142.25	86	77	163
11/28/2024	2:00	6142.5	6143	6142.5	6142.5	66	27	93
11/28/2024	2:05	6142.5	6143.75	6142.5	6143	128	46	174
11/28/2024	2:10	6142.75	6145	6142.75	6144.5	348	137	485
11/28/2024	2:15	6145	6145	6144.5	6144.75	76	86	162
11/28/2024	2:20	6144.75	6145.25	6144.5	6144.75	179	162	341
11/28/2024	2:25	6145	6145.25	6144.5	6144.75	67	67	134
11/28/2024	2:30	6144.5	6145.25	6144.5	6144.75	63	35	98
11/28/2024	2:35	6145	6145.25	6143.75	6144	44	139	183
11/28/2024	2:40	6144	6145	6143.75	6144.5	49	65	114
11/28/2024	2:45	6144.75	6144.75	6144.25	6144.75	124	96	220
11/28/2024	2:50	6144.5	6144.5	6143.75	6144.5	62	49	111
11/28/2024	2:55	6144	6144.75	6143.75	6144.25	55	71	126
11/28/2024	3:00	6144.5	6144.75	6144.25	6144.25	35	33	68
11/28/2024	3:05	6144.25	6144.75	6143.25	6143.75	167	174	341
11/28/2024	3:10	6143.75	6144	6143.25	6143.75	76	85	161
11/28/2024	3:15	6144	6144.75	6143.5	6144	79	118	197
11/28/2024	3:20	6144	6144.5	6143.75	6144.5	55	54	109
11/28/2024	3:25	6144.25	6144.25	6143.75	6144.25	21	52	73
11/28/2024	3:30	6143.75	6144.5	6143.75	6144.25	36	19	55
11/28/2024	3:35	6144.5	6145	6144.25	6144.5	99	103	202
11/28/2024	3:40	6144.75	6145	6143.5	6144	65	188	253
11/28/2024	3:45	6144.25	6145.5	6143.5	6145	448	295	743
11/28/2024	3:50	6145.5	6145.75	6145	6145.5	156	162	318
11/28/2024	3:55	6145.5	6145.75	6144.25	6144.25	109	105	214
11/28/2024	4:00	6144.5	6144.75	6143.5	6144.25	71	103	174
11/28/2024	4:05	6144.25	6145	6143.75	6144.75	156	145	301
11/28/2024	4:10	6144.75	6145.75	6144	6145.75	114	104	218
11/28/2024	4:15	6145.75	6146	6144.75	6145	109	113	222
11/28/2024	4:20	6144.75	6145.5	6144.75	6145.25	47	20	67
11/28/2024	4:25	6145.25	6145.75	6145.25	6145.5	40	21	61
11/28/2024	4:30	6145.25	6145.75	6145.25	6145.25	27	53	80
11/28/2024	4:35	6145.25	6145.5	6145.25	6145.5	3	13	16
11/28/2024	4:40	6145.5	6145.5	6144.75	6144.75	9	43	52
11/28/2024	4:45	6145	6145.5	6144.75	6145.25	44	20	64
11/28/2024	4:50	6145.25	6145.75	6145.25	6145.25	47	29	76
11/28/2024	4:55	6145.25	6145.75	6145.25	6145.25	28	34	62
11/28/2024	5:00	6145.5	6145.5	6145	6145.5	34	64	98
11/28/2024	5:05	6145.25	6145.75	6145	6145	63	59	122
11/28/2024	5:10	6145.25	6145.25	6144.5	6145	65	112	177
11/28/2024	5:15	6145	6145.5	6145	6145.25	38	11	49
11/28/2024	5:20	6145.25	6145.25	6144.5	6145	37	25	62
11/28/2024	5:25	6145	6145	6144.5	6145	53	19	72
11/28/2024	5:30	6145	6145.5	6144.75	6145.25	49	22	71
11/28/2024	5:35	6145	6145.5	6144.75	6145.5	64	157	221
11/28/2024	5:40	6145.5	6145.75	6145	6145.5	55	17	72
11/28/2024	5:45	6145.75	6146	6145.5	6145.5	130	55	185
11/28/2024	5:50	6145.5	6145.75	6145	6145.25	37	72	109
11/28/2024	5:55	6145.5	6145.5	6144.75	6144.75	27	60	87
11/28/2024	6:00	6145	6145.5	6144.75	6145.25	35	25	60
11/28/2024	6:05	6145.5	6145.75	6144.75	6145	68	56	124
11/28/2024	6:10	6145	6145.25	6145	6145	3	34	37
11/28/2024	6:15	6145	6145.25	6145	6145	17	57	74
11/28/2024	6:20	6145.25	6145.5	6145	6145.25	51	28	79
11/28/2024	6:25	6145	6146.5	6145	6145.5	312	109	421
11/28/2024	6:30	6145.5	6146.25	6145.5	6146.25	64	42	106
11/28/2024	6:35	6146.25	6146.25	6145.75	6145.75	26	83	109
11/28/2024	6:40	6145.75	6146.5	6145.75	6146	174	111	285
11/28/2024	6:45	6146.25	6146.25	6145.75	6146	75	48	123
11/28/2024	6:50	6145.75	6145.75	6145	6145.5	32	114	146
11/28/2024	6:55	6145.75	6145.75	6144.75	6144.75	27	89	116
11/28/2024	7:00	6145	6145.25	6144.25	6144.75	134	122	256
11/28/2024	7:05	6144.75	6145.25	6144.5	6144.75	80	79	159
11/28/2024	7:10	6144.75	6144.75	6144.5	6144.5	40	58	98
11/28/2024	7:15	6144.5	6144.75	6144.5	6144.75	29	80	109
11/28/2024	7:20	6144.75	6145.25	6144	6144	85	126	211
11/28/2024	7:25	6144	6145	6144	6144.75	46	37	83
11/28/2024	7:30	6144.75	6145.5	6144.5	6145.5	64	9	73
11/28/2024	7:35	6145.5	6145.75	6145	6145.75	73	30	103
11/28/2024	7:40	6145.75	6146	6145.5	6146	31	63	94
11/28/2024	7:45	6145.75	6146.25	6145.25	6145.5	62	72	134
11/28/2024	7:50	6145.5	6145.75	6145	6145.5	50	29	79
11/28/2024	7:55	6145.25	6145.75	6145.25	6145.25	24	21	45
11/28/2024	8:00	6145.5	6145.75	6145.25	6145.5	42	34	76
11/28/2024	8:05	6145.5	6145.75	6145	6145.25	237	203	440
11/28/2024	8:10	6145.5	6146	6145.25	6145.75	42	34	76
11/28/2024	8:15	6145.75	6145.75	6144.75	6145	62	40	102
11/28/2024	8:20	6145.25	6145.25	6145	6145	23	11	34
11/28/2024	8:25	6145	6145.25	6144.75	6145	43	49	92
11/28/2024	8:30	6145	6145.25	6144.5	6145	30	15	45
11/28/2024	8:35	6145.25	6145.25	6144.75	6145	7	32	39
11/28/2024	8:40	6145	6145.25	6144.5	6144.5	38	81	119
11/28/2024	8:45	6144.5	6145	6144.25	6145	38	32	70
11/28/2024	8:50	6144.75	6145	6144.25	6144.75	31	69	100
11/28/2024	8:55	6144.5	6145	6144.5	6145	48	22	70
11/28/2024	9:00	6145	6145	6144.75	6144.75	27	18	45
11/28/2024	9:05	6144.75	6145	6144.5	6145	54	107	161
11/28/2024	9:10	6144.5	6145.5	6144	6144	124	158	282
11/28/2024	9:15	6144	6145	6143.5	6144.75	189	195	384
11/28/2024	9:20	6144.75	6145	6144.25	6145	29	35	64
11/28/2024	9:25	6145	6145	6144.5	6144.75	43	65	108
11/28/2024	9:30	6144.5	6145	6144	6144.5	27	55	82
11/28/2024	9:35	6144.25	6144.75	6143.25	6143.75	71	88	159
11/28/2024	9:40	6143.5	6143.5	6142	6143	126	336	462
11/28/2024	9:45	6142.75	6143	6142	6142.75	73	84	157
11/28/2024	9:50	6142.75	6144.5	6142.5	6144	143	83	226
11/28/2024	9:55	6144	6144.25	6143.25	6144	77	51	128
11/28/2024	10:00	6144	6144.25	6143.5	6144.25	82	43	125
11/28/2024	10:05	6144	6144.75	6143.25	6143.25	208	198	406
11/28/2024	10:10	6143.75	6145	6143.75	6144.25	204	174	378
11/28/2024	10:15	6144.25	6144.25	6142.25	6142.75	104	258	362
11/28/2024	10:20	6142.75	6143.75	6142.5	6143.25	268	228	496
11/28/2024	10:25	6143.25	6143.75	6143	6143.75	111	111	222
11/28/2024	10:30	6144	6144.25	6143.5	6144.25	93	116	209
11/28/2024	10:35	6144.25	6144.5	6143.75	6144	102	160	262
11/28/2024	10:40	6143.75	6144.5	6143.75	6144.25	64	64	128
11/28/2024	10:45	6144.5	6144.5	6144	6144.25	29	97	126
11/28/2024	10:50	6144.25	6144.75	6143.25	6143.25	53	133	186
11/28/2024	10:55	6143	6144.25	6143	6143.75	73	101	174
11/28/2024	11:00	6144.25	6144.75	6143.75	6144.5	74	41	115
11/28/2024	11:05	6144.5	6145	6144	6144.5	137	87	224
11/28/2024	11:10	6144.75	6145	6144.5	6144.5	101	70	171
11/28/2024	11:15	6144.75	6145	6144.25	6145	101	71	172
11/28/2024	11:20	6145	6145.25	6144.75	6145.25	63	21	84
11/28/2024	11:25	6145.25	6145.5	6144.75	6145.5	142	40	182
11/28/2024	11:30	6145.5	6145.75	6144.5	6144.75	123	173	296
11/28/2024	11:35	6144.75	6145.25	6144.5	6145.25	139	45	184
11/28/2024	11:40	6145.5	6145.75	6145	6145.75	105	96	201
11/28/2024	11:45	6145.5	6145.75	6145.25	6145.75	20	20	40
11/28/2024	11:50	6145.75	6145.75	6145.25	6145.5	89	79	168
11/28/2024	11:55	6145.75	6146.25	6145.75	6146.25	108	76	184
11/28/2024	12:00	6146.25	6146.25	6145.5	6145.75	31	60	91
