Date,Time,Open,High,Low,Close,Up,Down,Volume
05/19/2000,20:15,1907.5,1909.5,1906.75,1909.25,479,0,0
05/19/2000,20:30,1909.5,1909.75,1904,1905,633,0,633
05/19/2000,20:45,1904.75,1904.75,1899,1899.25,971,0,971
05/19/2000,21:00,1899.25,1904.25,1899,1904,727,0,727
05/19/2000,21:15,1904,1904.75,1899.75,1901.5,806,0,806
05/19/2000,21:30,1901.25,1903.5,1899.25,1902.25,767,0,767
05/19/2000,21:45,1902.25,1909,1901.5,1908.25,1155,0,1155
05/19/2000,22:00,1908.25,1913,1906.25,1908.5,1066,0,1066
05/19/2000,22:15,1908.25,1909,1903.25,1906.25,1048,0,1048
05/19/2000,22:30,1906,1911.5,1904.75,1906.75,1136,0,1136
05/19/2000,22:45,1906.5,1912.5,1906,1907,1117,0,1117
05/19/2000,23:00,1907,1907,1902.25,1904.5,1060,0,1060
05/19/2000,23:15,1904.75,1907.75,1904,1907.5,658,0,658
05/19/2000,23:30,1907.5,1907.5,1907.5,1907.5,1,0,1
05/22/2000,8:45,1903.5,1903.5,1903.5,1903.5,1,0,1
05/22/2000,9:00,1903.5,1904,1903.5,1904,5,0,5
05/22/2000,9:15,1903.75,1903.75,1903.5,1903.75,5,0,5
05/22/2000,9:45,1903.75,1903.75,1903.75,1903.75,1,0,1
05/22/2000,10:00,1904,1904.25,1904,1904.25,3,0,3
05/22/2000,10:15,1904.75,1908,1904.75,1908,21,0,21
05/22/2000,10:30,1908,1909.25,1908,1909,23,0,23
05/22/2000,10:45,1908.75,1909.5,1908.5,1909.25,11,0,11
05/22/2000,11:00,1908.5,1910.25,1908.5,1910.25,12,0,12
05/22/2000,11:15,1910.25,1911,1910.25,1910.5,11,0,11
05/22/2000,11:30,1910.5,1910.5,1908,1908.25,15,0,15
05/22/2000,11:45,1908.5,1908.5,1905.5,1906.75,19,0,19
05/22/2000,12:00,1906.5,1906.5,1905,1905.5,12,0,12
05/22/2000,12:15,1906,1906,1905.25,1905.5,13,0,13
05/22/2000,12:30,1905.75,1907,1905.75,1907,9,0,9
05/22/2000,12:45,1906.75,1907.25,1906,1906.25,16,0,16
05/22/2000,13:00,1906.5,1907.25,1906.5,1907.25,7,0,7
05/22/2000,13:15,1907.75,1908.75,1907.25,1908.75,11,0,11
05/22/2000,13:30,1908.75,1909.5,1908.75,1909.25,5,0,5
05/22/2000,13:45,1909,1909.25,1906.75,1907.25,23,0,23
05/22/2000,14:00,1906.5,1908.25,1906.5,1908.25,4,0,4
05/22/2000,14:15,1907.75,1910.25,1907.75,1910.25,18,0,18
05/22/2000,14:30,1910.5,1910.75,1909.25,1909.25,27,0,27
05/22/2000,14:45,1909.5,1914,1909.5,1911,80,0,80
05/22/2000,15:00,1911,1911,1909.25,1910.25,41,0,41
05/22/2000,15:15,1910.25,1913,1910,1913,45,0,45
05/22/2000,15:30,1913,1915.25,1912,1913.25,69,0,69
05/22/2000,15:45,1913.25,1914,1911.75,1912.25,81,0,81
05/22/2000,16:00,1912.25,1913.75,1910.25,1910.5,83,0,83
05/22/2000,16:15,1910.75,1911.75,1909.5,1909.5,100,0,100
05/22/2000,16:30,1910,1911.25,1909,1909,87,0,87
05/22/2000,16:45,1909,1909.5,1900.5,1901.5,1571,0,1571
05/22/2000,17:00,1901.5,1901.5,1894,1894.25,1834,0,1834
05/22/2000,17:15,1894.25,1895.5,1890.75,1895.5,1419,0,1419
05/22/2000,17:30,1895.25,1896.5,1879,1881,1942,0,1942
05/22/2000,17:45,1881,1881.5,1872,1872,960,0,960
05/22/2000,18:00,1872,1881.75,1872,1877.25,1398,0,1398
05/22/2000,18:15,1877.5,1877.75,1866.25,1877.75,1814,0,1814
05/22/2000,18:30,1877.75,1882.75,1875.25,1877.5,1391,0,1391
05/22/2000,18:45,1877.75,1878.75,1874.75,1877,967,0,967
05/22/2000,19:00,1876.75,1877,1870.25,1871.5,1116,0,1116
05/22/2000,19:15,1871.75,1875.5,1871.75,1874,841,0,841
05/22/2000,19:30,1874,1874.25,1868.75,1873.5,701,0,701
05/22/2000,19:45,1873.75,1875.25,1870.75,1875,672,0,672
05/22/2000,20:00,1874.75,1879.25,1874,1876.75,823,0,823
05/22/2000,20:15,1876.75,1878.5,1875,1875.25,664,0,664
05/22/2000,20:30,1875,1876.5,1872,1874,769,0,769
05/22/2000,20:45,1874,1875.5,1870.25,1873,831,0,831
05/22/2000,21:00,1873,1873.25,1867.25,1870,948,0,948
05/22/2000,21:15,1870,1874.25,1864.5,1873.25,1480,0,1480
05/22/2000,21:30,1873.5,1878.5,1871.5,1876.25,1345,0,1345
05/22/2000,21:45,1876.25,1883.5,1874,1882.75,1485,0,1485
05/22/2000,22:00,1882.5,1883.75,1878.25,1878.25,1286,0,1286
05/22/2000,22:15,1878.25,1891,1878,1889,1691,0,1691
05/22/2000,22:30,1888.75,1900.75,1887.5,1898,1708,0,1708
05/22/2000,22:45,1898,1898.25,1890,1893.5,1378,0,1378
05/22/2000,23:00,1893.5,1900,1893.5,1898,1210,0,1210
05/22/2000,23:15,1897.75,1899.5,1895,1896.5,701,0,701
05/23/2000,8:15,1897.5,1897.75,1897.5,1897.75,4,0,4
05/23/2000,8:30,1897.25,1897.5,1897.25,1897.5,3,0,3
05/23/2000,8:45,1898,1898,1898,1898,1,0,1
05/23/2000,9:00,1898,1899.25,1898,1899.25,10,0,10
05/23/2000,9:15,1899.25,1900,1899.25,1900,6,0,6
05/23/2000,9:30,1900.25,1900.5,1900,1900.5,6,0,6
05/23/2000,9:45,1900.5,1900.5,1900.25,1900.25,12,0,12
05/23/2000,10:00,1900.5,1900.75,1900.25,1900.5,4,0,4
05/23/2000,10:15,1900.25,1900.75,1899.5,1900.75,8,0,8
05/23/2000,10:30,1900.25,1902,1900,1901.75,16,0,16
05/23/2000,10:45,1902,1902,1900.5,1901,13,0,13
05/23/2000,11:00,1900.25,1902,1900.25,1901.5,18,0,18
05/23/2000,11:15,1901,1901.25,1900.75,1901.25,5,0,5
05/23/2000,11:30,1901.25,1901.25,1901.25,1901.25,1,0,1
05/23/2000,11:45,1901.75,1902,1901.75,1901.75,3,0,3
05/23/2000,12:00,1901.25,1901.25,1900.75,1900.75,5,0,5
05/23/2000,12:15,1900.5,1900.5,1899,1899,10,0,10
05/23/2000,12:30,1898.25,1898.5,1897.75,1898.25,9,0,9
05/23/2000,12:45,1898.25,1898.5,1898,1898.5,5,0,5
05/23/2000,13:00,1898.5,1899,1896.5,1897.75,21,0,21
05/23/2000,13:15,1898,1900.25,1898,1900,14,0,14
05/23/2000,13:30,1899.75,1901.5,1899.75,1901.5,13,0,13
05/23/2000,13:45,1902,1902,1899.5,1900.25,21,0,21
05/23/2000,14:00,1900.5,1901.25,1900.5,1901.25,14,0,14
05/23/2000,14:15,1901.25,1901.25,1900.75,1900.75,16,0,16
05/23/2000,14:30,1900.5,1901.25,1900.5,1901.25,12,0,12
05/23/2000,14:45,1901.25,1901.75,1901,1901.5,20,0,20
05/23/2000,15:00,1901.75,1901.75,1900.25,1901,33,0,33
05/23/2000,15:15,1901,1903.5,1898.75,1902.5,97,0,97
05/23/2000,15:30,1902,1903,1899.75,1900,94,0,94
