Date,Time,Open,High,Low,Close,Up,Down,Volume
08/19/2024,4:05,5771,5771,5769,5769.5,160,360,0
08/19/2024,4:10,5769.5,5770.5,5768.25,5769.5,266,365,0
08/19/2024,4:15,5769.75,5771.5,5769.75,5770.75,342,189,0
08/19/2024,4:20,5770.75,5770.75,5768.5,5769.75,374,548,0
08/19/2024,4:25,5770,5771,5768.75,5769.75,321,265,0
08/19/2024,4:30,5770,5770,5766.75,5768.5,264,418,0
08/19/2024,4:35,5768.5,5770,5768.25,5769.25,254,221,0
08/19/2024,4:40,5769,5769.25,5767.75,5769.25,225,237,0
08/19/2024,4:45,5769.25,5770.5,5769,5770.25,284,151,0
08/19/2024,4:50,5770,5770.75,5769.25,5770.25,154,196,0
08/19/2024,4:55,5770.25,5770.25,5769,5769.75,142,192,0
08/19/2024,5:00,5769.5,5771.25,5769,5771,298,198,0
08/19/2024,5:05,5771,5771.75,5770.5,5771.5,306,204,0
08/19/2024,5:10,5771.25,5772,5770.5,5771,151,280,0
08/19/2024,5:15,5771,5771.75,5770.25,5770.75,343,248,0
08/19/2024,5:20,5770.5,5771.75,5770.5,5771.5,156,93,0
08/19/2024,5:25,5771.5,5772.25,5771.5,5772,189,154,0
08/19/2024,5:30,5771.75,5772.5,5771,5772,98,166,0
08/19/2024,5:35,5771.75,5771.75,5769.75,5769.75,92,249,0
08/19/2024,5:40,5769.75,5770.5,5769.75,5770,144,60,0
08/19/2024,5:45,5769.75,5771,5769.5,5770.25,104,110,0
08/19/2024,5:50,5770.5,5771.25,5770.5,5771,123,37,0
08/19/2024,5:55,5771.25,5772.25,5770.75,5771.75,157,111,0
08/19/2024,6:00,5771.75,5772.25,5771.25,5771.5,135,118,0
08/19/2024,6:05,5771.25,5772.5,5771.25,5772,95,81,0
08/19/2024,6:10,5772.25,5772.5,5771.75,5772,111,65,0
08/19/2024,6:15,5772,5772.75,5771.5,5771.75,160,108,0
08/19/2024,6:20,5771.75,5772.25,5771.5,5771.5,64,70,0
08/19/2024,6:25,5771.75,5772.5,5771.25,5772,124,85,0
08/19/2024,6:30,5772,5773.25,5771.75,5772.75,211,114,0
08/19/2024,6:35,5772.5,5775.75,5772,5773.5,708,667,0
08/19/2024,6:40,5773.75,5774.25,5771.25,5771.25,271,462,0
08/19/2024,6:45,5771.5,5771.75,5769.5,5770,321,503,0
08/19/2024,6:50,5770,5770.75,5769.75,5770,356,226,0
08/19/2024,6:55,5770.25,5771,5769.25,5769.5,76,175,0
08/19/2024,7:00,5769.5,5770,5768,5769.75,451,339,0
08/19/2024,7:05,5769.5,5770,5768,5769,280,185,0
08/19/2024,7:10,5769,5769,5768.25,5768.5,130,81,0
08/19/2024,7:15,5768.5,5769.5,5768.5,5769.25,131,65,0
08/19/2024,7:20,5769,5769.5,5768.75,5769.25,106,77,0
08/19/2024,7:25,5769.25,5769.75,5768.5,5769.25,140,51,0
08/19/2024,7:30,5769.25,5769.75,5769,5769.25,152,81,0
08/19/2024,7:35,5769,5769,5765.25,5766.5,490,773,0
08/19/2024,7:40,5766.5,5766.75,5759.5,5762.5,645,1496,0
08/19/2024,7:45,5762.5,5763,5760.25,5761,680,758,0
08/19/2024,7:50,5760.75,5763.25,5760.75,5763,687,458,0
08/19/2024,7:55,5762.75,5763.5,5761.5,5763.5,420,348,0
08/19/2024,8:00,5763.5,5763.75,5762.5,5763,207,275,0
08/19/2024,8:05,5763.25,5765.75,5762.75,5765,531,286,0
08/19/2024,8:10,5765,5765.25,5764,5764.75,186,279,0
08/19/2024,8:15,5764.75,5764.75,5763,5764,218,260,0
08/19/2024,8:20,5763.75,5765.25,5763.5,5764.75,183,227,0
08/19/2024,8:25,5764.75,5764.75,5760.25,5762.5,460,611,0
08/19/2024,8:30,5762.25,5762.5,5758.5,5760.5,605,1014,0
08/19/2024,8:35,5760.25,5762,5757.5,5759.75,767,966,0
08/19/2024,8:40,5759.5,5761.75,5759,5760.75,391,231,0
08/19/2024,8:45,5760.75,5762.5,5760.5,5762,334,242,0
08/19/2024,8:50,5762.25,5762.25,5759.75,5761.75,366,400,0
08/19/2024,8:55,5761.75,5762,5759.5,5759.5,161,167,0
08/19/2024,9:00,5759.75,5759.75,5758,5759.5,474,656,0
08/19/2024,9:05,5759,5761.25,5758.5,5760.5,660,721,0
08/19/2024,9:10,5760.75,5760.75,5754.75,5755.25,709,1387,0
08/19/2024,9:15,5755.25,5757,5755,5756.25,345,413,0
08/19/2024,9:20,5756.5,5757.5,5755,5755.5,413,723,0
08/19/2024,9:25,5755.5,5756.25,5754,5755.5,548,693,0
08/19/2024,9:30,5755.25,5756.5,5755,5755.5,206,350,0
08/19/2024,9:35,5755.5,5756,5754.5,5755.5,227,258,0
08/19/2024,9:40,5755.25,5757,5755.25,5755.5,197,264,0
08/19/2024,9:45,5755.75,5757.75,5755.75,5757,349,292,0
08/19/2024,9:50,5756.75,5756.75,5755.25,5755.75,191,366,0
08/19/2024,9:55,5756.25,5756.25,5754.75,5754.75,184,281,0
08/19/2024,10:00,5754.5,5755.25,5754.5,5755.25,150,293,0
08/19/2024,10:05,5755.25,5758.75,5755,5757.25,665,795,0
08/19/2024,10:10,5757,5759.5,5757,5758.5,537,530,0
08/19/2024,10:15,5758.75,5759.5,5758.25,5758.75,277,301,0
08/19/2024,10:20,5758.75,5760,5758,5758.5,515,335,0
08/19/2024,10:25,5758.25,5758.75,5755.25,5757.5,470,613,0
08/19/2024,10:30,5757.5,5761.25,5757.5,5761.25,775,539,0
08/19/2024,10:35,5761.25,5761.25,5759.75,5761,273,412,0
08/19/2024,10:40,5761,5761.5,5759.75,5759.75,242,332,0
08/19/2024,10:45,5759.5,5762.5,5758.75,5762.25,514,510,0
08/19/2024,10:50,5762,5762.5,5760.25,5760.75,244,301,0
08/19/2024,10:55,5760.5,5760.75,5758,5758.25,174,429,0
08/19/2024,11:00,5758.5,5759.75,5757.5,5759,271,345,0
08/19/2024,11:05,5759,5760.75,5754.75,5755.75,918,1096,0
08/19/2024,11:10,5755.75,5756,5749,5753.5,1325,2006,0
08/19/2024,11:15,5753.25,5755.25,5753.25,5754.25,797,555,0
08/19/2024,11:20,5754.25,5757.75,5753.5,5756.75,860,671,0
08/19/2024,11:25,5756.75,5758.75,5756.5,5757.5,588,284,0
08/19/2024,11:30,5757.25,5758.5,5756,5758,321,183,0
08/19/2024,11:35,5758.25,5758.25,5756.75,5757.5,569,492,0
08/19/2024,11:40,5757.5,5759.5,5757.25,5757.75,564,446,0
08/19/2024,11:45,5757.75,5759,5755.75,5758.5,536,520,0
08/19/2024,11:50,5758.5,5761,5758.25,5759.25,439,443,0
08/19/2024,11:55,5759.25,5760.75,5757.75,5760.25,358,395,0
08/19/2024,12:00,5760,5761.5,5759.75,5760.75,598,369,0
08/19/2024,12:05,5761,5761.5,5758.5,5758.5,328,407,0
08/19/2024,12:10,5758.5,5759.25,5756.75,5757.5,380,376,0
08/19/2024,12:15,5757.75,5757.75,5755.25,5756.25,303,557,0
08/19/2024,12:20,5756.25,5757.5,5755.75,5756.25,269,289,0
08/19/2024,12:25,5756.5,5758.25,5756.5,5758,466,427,0
08/19/2024,12:30,5757.75,5760.75,5757.75,5760,608,654,0
08/19/2024,12:35,5760.25,5761.75,5759.75,5761,358,371,0
08/19/2024,12:40,5760.75,5761.25,5760.25,5760.75,161,206,0
08/19/2024,12:45,5760.75,5760.75,5758.75,5759.25,189,231,0
08/19/2024,12:50,5759.5,5759.75,5756.75,5757.75,381,327,0
08/19/2024,12:55,5757.75,5759,5757.75,5758.75,260,163,0
08/19/2024,13:00,5758.5,5761.25,5758.25,5759.75,466,487,0
08/19/2024,13:05,5759.75,5763.25,5759.25,5763,1192,751,0
08/19/2024,13:10,5763.25,5764.75,5762.25,5763.5,506,504,0
08/19/2024,13:15,5763.5,5764,5762.25,5763.5,313,495,0
08/19/2024,13:20,5763.75,5764,5761.25,5762.25,215,314,0
08/19/2024,13:25,5762,5763.5,5762,5763,113,193,0
08/19/2024,13:30,5763.25,5764.25,5762,5762.25,219,339,0
08/19/2024,13:35,5762.25,5763,5761.25,5762,235,388,0
08/19/2024,13:40,5761.75,5762,5760.25,5761,120,301,0
08/19/2024,13:45,5761,5761.25,5759.5,5760.75,367,358,0
08/19/2024,13:50,5761,5762.75,5760.75,5762,309,292,0
08/19/2024,13:55,5762.25,5762.5,5759.25,5760.5,553,315,0
08/19/2024,14:00,5760.25,5760.75,5759,5759,259,312,0
08/19/2024,14:05,5759.25,5761.75,5759,5761,522,289,0
08/19/2024,14:10,5761,5762.75,5760.5,5761.75,282,250,0
08/19/2024,14:15,5762,5765.5,5762,5765.25,835,632,0
08/19/2024,14:20,5765.25,5765.25,5763.25,5763.75,303,467,0
08/19/2024,14:25,5763.5,5764,5762.75,5763.5,214,195,0
08/19/2024,14:30,5763.5,5764.75,5763.5,5764.5,253,116,0
08/19/2024,14:35,5764.5,5765.5,5764.25,5764.75,340,254,0
08/19/2024,14:40,5765,5765.75,5763.25,5763.75,311,375,0
08/19/2024,14:45,5763.75,5764.25,5762.5,5764.25,129,205,0
08/19/2024,14:50,5764,5764.25,5763.25,5763.75,169,209,0
08/19/2024,14:55,5764,5764,5762.25,5763.75,151,189,0
08/19/2024,15:00,5763.75,5764.25,5763.25,5763.75,118,131,0
08/19/2024,15:05,5763.75,5765.75,5763.25,5765.25,699,382,0
08/19/2024,15:10,5765,5765.75,5763.75,5764.75,326,368,0
08/19/2024,15:15,5764.75,5766.25,5764.25,5766,402,251,0
08/19/2024,15:20,5766.25,5768,5765.75,5767.75,867,495,0
08/19/2024,15:25,5767.5,5768.75,5766.75,5768.25,551,376,0
08/19/2024,15:30,5768.5,5768.5,5767.25,5767.75,460,584,0
08/19/2024,15:35,5767.75,5768,5766.5,5767,422,407,0
08/19/2024,15:40,5767,5767,5765.5,5766.5,366,511,0
08/19/2024,15:45,5766.5,5766.75,5764.5,5766.25,278,422,0
08/19/2024,15:50,5766.25,5767.75,5766,5767.25,479,388,0
08/19/2024,15:55,5767,5768,5766,5766.5,406,469,0
08/19/2024,16:00,5766.5,5767.25,5766,5766.75,297,383,0
08/19/2024,16:05,5767,5769.5,5766.25,5769.5,1142,660,0
08/19/2024,16:10,5769.5,5772.25,5769.25,5770.5,1728,1187,0
08/19/2024,16:15,5770.75,5771,5768.75,5769.25,360,571,0
08/19/2024,16:20,5769.25,5772.25,5769,5770.75,938,869,0
08/19/2024,16:25,5770.5,5770.75,5767.25,5767.5,428,819,0
08/19/2024,16:30,5767.5,5768,5765.25,5765.75,985,1582,0
08/19/2024,16:35,5766,5773.25,5765,5771,10805,12109,0
08/19/2024,16:40,5771,5772.25,5764,5768,10234,11178,0
08/19/2024,16:45,5767.75,5774.25,5767.75,5770.75,8787,7923,0
08/19/2024,16:50,5770.75,5773.75,5768.75,5772,7985,6405,0
08/19/2024,16:55,5772,5772.75,5767,5767.25,5703,6846,0
08/19/2024,17:00,5767.5,5770,5765.5,5768.5,6961,7060,0
08/19/2024,17:05,5768.5,5772,5764.75,5768.75,10507,9753,0
08/19/2024,17:10,5769,5775.25,5767.25,5773.75,9338,7696,0
08/19/2024,17:15,5773.5,5776,5770.75,5771.5,5869,6816,0
08/19/2024,17:20,5771.75,5772.75,5757.5,5759,11979,16234,0
08/19/2024,17:25,5759.25,5769.5,5758.5,5768.25,10908,8265,0
08/19/2024,17:30,5768.5,5774,5767,5772.5,6765,6149,0
08/19/2024,17:35,5772.75,5776.25,5771.5,5774.25,6353,4775,0
08/19/2024,17:40,5774.25,5775,5772,5774.75,3433,3389,0
08/19/2024,17:45,5774.75,5777,5772.25,5775.25,4237,4175,0
08/19/2024,17:50,5775.25,5779,5775,5777.75,5777,4430,0
08/19/2024,17:55,5777.5,5786,5777.5,5784.25,9100,7373,0
08/19/2024,18:00,5784.25,5784.5,5781,5784.5,3470,4481,0
08/19/2024,18:05,5784.5,5786.5,5783.25,5785.5,4162,3652,0
08/19/2024,18:10,5785.5,5786.75,5784.25,5786.5,2788,2794,0
08/19/2024,18:15,5786.5,5786.75,5782.75,5783.25,2573,3770,0
08/19/2024,18:20,5783.25,5784.75,5780.5,5783,2961,4096,0
08/19/2024,18:25,5782.75,5785.75,5781.25,5785.75,2871,1750,0
08/19/2024,18:30,5785.5,5786,5783.75,5784.25,1960,2391,0
08/19/2024,18:35,5784.25,5788.25,5782.75,5786.5,4527,3171,0
08/19/2024,18:40,5786.75,5787.25,5783.75,5784.25,1943,2758,0
08/19/2024,18:45,5784.5,5786.25,5783.5,5785.25,1796,2328,0
08/19/2024,18:50,5785.25,5786.5,5784.25,5785.25,1588,1269,0
08/19/2024,18:55,5785.25,5789.25,5784.5,5787.5,3714,2680,0
08/19/2024,19:00,5787.75,5788.25,5776.75,5781.25,5594,8224,0
08/19/2024,19:05,5781.5,5783.75,5778.25,5781,4433,4442,0
08/19/2024,19:10,5781,5783,5780.25,5782.75,1741,1908,0
08/19/2024,19:15,5782.75,5785.25,5782.75,5783.5,2598,2335,0
08/19/2024,19:20,5783.5,5785.75,5781.75,5785.25,2271,2160,0
