"Date","Time","Open","High","Low","Close","Up","Down","Volume"
08/19/2024,04:05,5771.00,5771.00,5769.00,5769.50,160,360,0.00
08/19/2024,04:10,5769.50,5770.50,5768.25,5769.50,266,365,0.00
08/19/2024,04:15,5769.75,5771.50,5769.75,5770.75,342,189,0.00
08/19/2024,04:20,5770.75,5770.75,5768.50,5769.75,374,548,0.00
08/19/2024,04:25,5770.00,5771.00,5768.75,5769.75,321,265,0.00
08/19/2024,04:30,5770.00,5770.00,5766.75,5768.50,264,418,0.00
08/19/2024,04:35,5768.50,5770.00,5768.25,5769.25,254,221,0.00
08/19/2024,04:40,5769.00,5769.25,5767.75,5769.25,225,237,0.00
08/19/2024,04:45,5769.25,5770.50,5769.00,5770.25,284,151,0.00
08/19/2024,04:50,5770.00,5770.75,5769.25,5770.25,154,196,0.00
08/19/2024,04:55,5770.25,5770.25,5769.00,5769.75,142,192,0.00
08/19/2024,05:00,5769.50,5771.25,5769.00,5771.00,298,198,0.00
08/19/2024,05:05,5771.00,5771.75,5770.50,5771.50,306,204,0.00
08/19/2024,05:10,5771.25,5772.00,5770.50,5771.00,151,280,0.00
08/19/2024,05:15,5771.00,5771.75,5770.25,5770.75,343,248,0.00
08/19/2024,05:20,5770.50,5771.75,5770.50,5771.50,156,93,0.00
08/19/2024,05:25,5771.50,5772.25,5771.50,5772.00,189,154,0.00
08/19/2024,05:30,5771.75,5772.50,5771.00,5772.00,98,166,0.00
08/19/2024,05:35,5771.75,5771.75,5769.75,5769.75,92,249,0.00
08/19/2024,05:40,5769.75,5770.50,5769.75,5770.00,144,60,0.00
08/19/2024,05:45,5769.75,5771.00,5769.50,5770.25,104,110,0.00
08/19/2024,05:50,5770.50,5771.25,5770.50,5771.00,123,37,0.00
08/19/2024,05:55,5771.25,5772.25,5770.75,5771.75,157,111,0.00
08/19/2024,06:00,5771.75,5772.25,5771.25,5771.50,135,118,0.00
08/19/2024,06:05,5771.25,5772.50,5771.25,5772.00,95,81,0.00
08/19/2024,06:10,5772.25,5772.50,5771.75,5772.00,111,65,0.00
08/19/2024,06:15,5772.00,5772.75,5771.50,5771.75,160,108,0.00
08/19/2024,06:20,5771.75,5772.25,5771.50,5771.50,64,70,0.00
08/19/2024,06:25,5771.75,5772.50,5771.25,5772.00,124,85,0.00
08/19/2024,06:30,5772.00,5773.25,5771.75,5772.75,211,114,0.00
08/19/2024,06:35,5772.50,5775.75,5772.00,5773.50,708,667,0.00
08/19/2024,06:40,5773.75,5774.25,5771.25,5771.25,271,462,0.00
08/19/2024,06:45,5771.50,5771.75,5769.50,5770.00,321,503,0.00
