"Date","Time","Open","High","Low","Close","Up","Down","Volume"
01/02/2025,02:15,5939.75,5942.75,5939.50,5942.50,595,478,0.00
01/02/2025,02:20,5942.50,5944.75,5941.00,5941.00,805,749,1554.00
01/02/2025,02:25,5941.00,5946.75,5940.50,5945.75,877,715,1592.00
01/02/2025,02:30,5946.00,5946.75,5943.75,5944.00,407,471,878.00
01/02/2025,02:35,5944.00,5945.00,5940.50,5941.50,523,642,1165.00
01/02/2025,02:40,5941.50,5949.75,5940.50,5949.25,1525,1048,2573.00
01/02/2025,02:45,5949.25,5950.00,5947.00,5948.00,783,632,1415.00
01/02/2025,02:50,5948.00,5949.00,5945.50,5946.75,389,418,807.00
01/02/2025,02:55,5946.50,5950.50,5946.00,5950.25,701,514,1215.00
01/02/2025,03:00,5950.25,5950.50,5945.75,5947.00,405,565,970.00
01/02/2025,03:05,5946.75,5948.25,5945.50,5947.00,469,498,967.00
01/02/2025,03:10,5947.25,5950.00,5947.00,5948.75,442,345,787.00
01/02/2025,03:15,5948.50,5950.25,5947.50,5948.75,349,328,677.00
01/02/2025,03:20,5948.50,5949.50,5947.00,5949.50,194,234,428.00
01/02/2025,03:25,5949.25,5951.75,5949.00,5949.00,474,357,831.00
01/02/2025,03:30,5949.00,5955.00,5949.00,5954.50,1526,900,2426.00
01/02/2025,03:35,5954.50,5954.50,5952.00,5953.50,394,471,865.00
01/02/2025,03:40,5953.50,5956.50,5952.50,5956.25,700,453,1153.00
01/02/2025,03:45,5956.25,5958.00,5955.50,5957.50,549,484,1033.00
01/02/2025,03:50,5957.25,5957.25,5956.00,5956.50,150,252,402.00
01/02/2025,03:55,5956.75,5958.25,5954.00,5954.25,334,605,939.00
01/02/2025,04:00,5954.25,5956.25,5954.00,5955.75,213,189,402.00
01/02/2025,04:05,5955.75,5956.75,5954.00,5954.75,329,385,714.00
01/02/2025,04:10,5954.75,5955.00,5953.25,5954.25,341,346,687.00
01/02/2025,04:15,5954.25,5955.00,5953.25,5953.50,162,213,375.00
01/02/2025,04:20,5953.50,5955.25,5952.25,5955.25,398,339,737.00
01/02/2025,04:25,5954.75,5958.00,5954.50,5957.50,485,284,769.00
01/02/2025,04:30,5957.25,5959.75,5956.00,5957.50,626,585,1211.00
01/02/2025,04:35,5957.75,5958.50,5956.00,5956.75,202,243,445.00
01/02/2025,04:40,5956.50,5957.00,5954.75,5955.00,179,254,433.00
01/02/2025,04:45,5955.00,5955.25,5952.25,5952.50,268,690,958.00
01/02/2025,04:50,5952.75,5953.00,5950.25,5952.00,478,613,1091.00
01/02/2025,04:55,5952.00,5954.00,5951.75,5953.75,305,225,530.00
01/02/2025,05:00,5953.50,5954.00,5952.00,5952.50,195,232,427.00
01/02/2025,05:05,5952.50,5954.25,5951.75,5952.25,238,305,543.00
01/02/2025,05:10,5952.50,5954.00,5950.75,5953.50,371,352,723.00
01/02/2025,05:15,5953.50,5954.25,5951.50,5952.00,152,204,356.00
01/02/2025,05:20,5952.00,5952.75,5950.50,5951.50,302,282,584.00
01/02/2025,05:25,5951.50,5952.00,5947.50,5949.50,535,957,1492.00
01/02/2025,05:30,5949.50,5951.50,5949.50,5951.25,343,110,453.00
01/02/2025,05:35,5951.25,5954.00,5950.75,5953.75,418,296,714.00
01/02/2025,05:40,5954.00,5955.00,5953.25,5954.00,285,347,632.00
01/02/2025,05:45,5954.00,5956.00,5953.50,5955.75,327,200,527.00
01/02/2025,05:50,5955.75,5955.75,5954.25,5955.00,115,161,276.00
01/02/2025,05:55,5955.00,5957.00,5954.50,5955.50,271,196,467.00
01/02/2025,06:00,5955.50,5956.50,5954.75,5954.75,131,125,256.00
01/02/2025,06:05,5954.75,5956.00,5953.75,5955.25,280,194,474.00
01/02/2025,06:10,5955.25,5956.50,5954.75,5955.00,188,80,268.00
01/02/2025,06:15,5955.00,5958.75,5955.00,5958.25,465,323,788.00
01/02/2025,06:20,5958.50,5961.00,5957.50,5960.50,816,355,1171.00
01/02/2025,06:25,5960.50,5961.00,5959.75,5960.00,246,262,508.00
01/02/2025,06:30,5960.25,5960.75,5958.75,5960.25,282,239,521.00
01/02/2025,06:35,5960.00,5960.50,5957.75,5959.25,276,310,586.00
01/02/2025,06:40,5959.50,5962.50,5959.50,5961.25,508,325,833.00
01/02/2025,06:45,5961.00,5963.75,5961.00,5962.75,460,252,712.00
01/02/2025,06:50,5963.00,5965.00,5962.75,5964.75,335,127,462.00
01/02/2025,06:55,5965.00,5965.50,5964.00,5964.25,207,209,416.00
01/02/2025,07:00,5964.00,5964.75,5963.00,5963.75,142,272,414.00
01/02/2025,07:05,5964.00,5964.50,5962.75,5963.75,167,144,311.00
01/02/2025,07:10,5963.75,5964.75,5963.50,5964.00,150,126,276.00
01/02/2025,07:15,5964.00,5964.50,5963.25,5963.50,145,67,212.00
01/02/2025,07:20,5963.50,5967.00,5963.50,5966.50,456,236,692.00
01/02/2025,07:25,5966.50,5966.75,5965.00,5965.50,326,270,596.00
01/02/2025,07:30,5965.50,5965.75,5962.25,5963.25,234,369,603.00
01/02/2025,07:35,5963.50,5967.75,5962.50,5966.50,775,394,1169.00
01/02/2025,07:40,5966.25,5967.00,5965.50,5966.50,257,244,501.00
01/02/2025,07:45,5966.75,5967.00,5966.00,5966.25,81,160,241.00
01/02/2025,07:50,5966.25,5967.50,5966.00,5966.50,344,272,616.00
01/02/2025,07:55,5966.75,5967.50,5966.25,5967.25,109,81,190.00
01/02/2025,08:00,5967.50,5968.25,5966.50,5966.75,225,252,477.00
01/02/2025,08:05,5966.75,5969.75,5966.75,5967.25,841,460,1301.00
01/02/2025,08:10,5967.00,5968.25,5966.50,5968.00,273,265,538.00
01/02/2025,08:15,5967.75,5968.25,5967.00,5967.00,167,152,319.00
01/02/2025,08:20,5967.25,5967.75,5966.00,5967.75,353,231,584.00
01/02/2025,08:25,5967.75,5968.50,5966.75,5968.00,291,191,482.00
01/02/2025,08:30,5968.00,5968.75,5967.50,5968.75,189,290,479.00
01/02/2025,08:35,5968.50,5968.50,5965.00,5966.25,314,451,765.00
01/02/2025,08:40,5966.25,5968.00,5965.25,5967.00,170,231,401.00
01/02/2025,08:45,5966.75,5967.50,5963.25,5963.75,272,699,971.00
01/02/2025,08:50,5963.50,5963.75,5960.25,5961.50,495,735,1230.00
01/02/2025,08:55,5961.50,5963.25,5961.50,5962.50,266,242,508.00
01/02/2025,09:00,5962.25,5964.25,5961.00,5961.25,359,402,761.00
01/02/2025,09:05,5961.50,5972.00,5961.00,5971.00,1791,1112,2903.00
01/02/2025,09:10,5971.00,5975.00,5970.00,5972.25,1300,1189,2489.00
01/02/2025,09:15,5972.75,5975.00,5970.25,5974.00,684,489,1173.00
01/02/2025,09:20,5974.25,5974.50,5968.75,5971.75,453,627,1080.00
01/02/2025,09:25,5971.75,5972.25,5966.25,5966.25,365,624,989.00
01/02/2025,09:30,5966.25,5966.25,5957.00,5957.75,1294,1998,3292.00
01/02/2025,09:35,5958.00,5962.00,5953.00,5956.00,1477,1773,3250.00
01/02/2025,09:40,5956.25,5961.00,5954.25,5956.75,1361,1168,2529.00
01/02/2025,09:45,5956.75,5963.75,5956.75,5959.00,973,817,1790.00
01/02/2025,09:50,5959.00,5965.75,5956.50,5963.50,1045,860,1905.00
01/02/2025,09:55,5963.25,5964.50,5960.25,5961.00,309,457,766.00
01/02/2025,10:00,5960.75,5966.75,5960.25,5964.25,691,521,1212.00
01/02/2025,10:05,5964.00,5966.00,5960.25,5962.75,1031,1045,2076.00
