"Date","Time","Open","High","Low","Close","Up","Down","Volume"
08/20/2024,04:15,5813.00,5813.50,5809.25,5812.00,628,967,0.00
08/20/2024,04:30,5812.25,5814.25,5812.00,5812.75,478,292,770.00
08/20/2024,04:45,5812.50,5815.25,5812.50,5814.75,757,532,1289.00
08/20/2024,05:00,5814.75,5815.75,5814.00,5815.75,485,357,842.00
08/20/2024,05:15,5815.50,5817.50,5814.50,5816.75,865,741,1606.00
08/20/2024,05:30,5817.00,5817.25,5816.00,5817.25,384,264,648.00
08/20/2024,05:45,5817.00,5819.25,5816.75,5818.75,1043,673,1716.00
08/20/2024,06:00,5818.50,5820.50,5818.25,5820.25,720,334,1054.00
08/20/2024,06:15,5820.00,5820.00,5817.75,5818.00,272,560,832.00
08/20/2024,06:30,5818.00,5818.25,5814.50,5815.00,440,955,1395.00
08/20/2024,06:45,5815.25,5815.25,5812.25,5814.25,610,675,1285.00
08/20/2024,07:00,5814.00,5814.25,5812.75,5813.25,276,328,604.00
08/20/2024,07:15,5813.00,5816.25,5813.00,5815.75,715,331,1046.00
08/20/2024,07:30,5816.00,5817.00,5815.25,5816.00,365,285,650.00
08/20/2024,07:45,5816.25,5816.25,5813.00,5814.25,376,616,992.00
08/20/2024,08:00,5814.25,5815.50,5813.75,5815.00,209,218,427.00
08/20/2024,08:15,5815.00,5815.75,5814.00,5814.75,206,253,459.00
08/20/2024,08:30,5814.75,5817.00,5814.75,5816.50,409,256,665.00
08/20/2024,08:45,5816.25,5817.00,5815.25,5815.50,207,358,565.00
08/20/2024,09:00,5815.50,5816.50,5814.50,5816.50,329,225,554.00
08/20/2024,09:15,5816.25,5816.25,5814.25,5814.75,570,642,1212.00
08/20/2024,09:30,5814.75,5816.50,5814.00,5816.25,418,322,740.00
08/20/2024,09:45,5816.25,5820.25,5816.25,5819.00,1091,752,1843.00
08/20/2024,10:00,5819.50,5820.25,5818.50,5819.25,508,389,897.00
08/20/2024,10:15,5819.00,5820.50,5817.50,5818.75,1455,1285,2740.00
08/20/2024,10:30,5819.00,5823.50,5819.00,5823.00,1476,1137,2613.00
08/20/2024,10:45,5823.00,5823.50,5820.75,5822.00,1152,1058,2210.00
08/20/2024,11:00,5822.25,5825.25,5821.25,5822.50,1347,1224,2571.00
08/20/2024,11:15,5822.50,5823.00,5819.75,5820.75,1102,1233,2335.00
08/20/2024,11:30,5820.75,5821.25,5816.50,5817.00,779,1252,2031.00
08/20/2024,11:45,5816.75,5818.00,5810.75,5811.75,1036,1737,2773.00
08/20/2024,12:00,5811.50,5817.25,5811.25,5817.00,1831,1680,3511.00
08/20/2024,12:15,5817.00,5819.00,5816.75,5817.75,765,588,1353.00
08/20/2024,12:30,5817.75,5820.50,5817.50,5819.75,1259,989,2248.00
08/20/2024,12:45,5819.75,5819.75,5818.00,5818.50,542,816,1358.00
08/20/2024,13:00,5818.50,5818.75,5815.50,5816.50,458,842,1300.00
08/20/2024,13:15,5816.50,5817.50,5814.00,5816.75,1215,1216,2431.00
08/20/2024,13:30,5816.75,5818.75,5816.50,5817.00,805,544,1349.00
08/20/2024,13:45,5816.75,5819.50,5816.50,5819.25,650,579,1229.00
08/20/2024,14:00,5819.50,5820.50,5817.25,5818.50,1021,888,1909.00
08/20/2024,14:15,5818.50,5821.00,5818.00,5818.75,1018,1053,2071.00
08/20/2024,14:30,5818.50,5819.00,5817.00,5817.25,677,1153,1830.00
08/20/2024,14:45,5817.25,5819.00,5815.75,5818.25,1094,1329,2423.00
08/20/2024,15:00,5818.50,5819.00,5817.00,5818.25,671,635,1306.00
08/20/2024,15:15,5818.00,5819.75,5817.25,5818.25,1066,987,2053.00
08/20/2024,15:30,5818.25,5819.25,5816.00,5817.25,812,1034,1846.00
08/20/2024,15:45,5817.25,5817.75,5814.00,5814.50,2000,2139,4139.00
08/20/2024,16:00,5814.25,5815.25,5812.50,5814.25,1893,2349,4242.00
08/20/2024,16:15,5814.25,5814.75,5809.75,5811.75,3465,3724,7189.00
08/20/2024,16:30,5811.50,5812.00,5809.25,5809.75,2332,3493,5825.00
08/20/2024,16:45,5809.75,5820.00,5809.50,5819.75,21048,18001,39049.00
08/20/2024,17:00,5819.50,5827.25,5817.50,5826.00,18742,15325,34067.00
08/20/2024,17:15,5826.25,5827.00,5809.00,5813.25,21898,29895,51793.00
08/20/2024,17:30,5813.25,5813.50,5806.00,5809.75,20425,23310,43735.00
08/20/2024,17:45,5809.75,5811.00,5798.00,5798.25,19244,24346,43590.00
08/20/2024,18:00,5798.50,5808.50,5798.25,5802.50,20141,18052,38193.00
08/20/2024,18:15,5802.50,5805.00,5800.50,5800.75,9023,10088,19111.00
08/20/2024,18:30,5800.75,5805.50,5797.25,5798.00,11552,12996,24548.00
08/20/2024,18:45,5798.00,5805.25,5797.25,5799.25,11596,11683,23279.00
08/20/2024,19:00,5799.25,5811.75,5796.25,5811.25,17148,12827,29975.00
08/20/2024,19:15,5811.25,5812.75,5807.00,5808.25,11844,12167,24011.00
08/20/2024,19:30,5808.25,5808.75,5800.50,5804.50,10802,12918,23720.00
08/20/2024,19:45,5804.50,5806.25,5801.25,5803.25,6120,6955,13075.00
08/20/2024,20:00,5803.25,5805.75,5798.25,5799.00,6187,7867,14054.00
08/20/2024,20:15,5799.00,5801.00,5791.25,5798.00,14010,15681,29691.00
08/20/2024,20:30,5798.25,5801.50,5796.50,5800.25,7526,6255,13781.00
08/20/2024,20:45,5800.25,5801.50,5795.25,5801.00,5900,5881,11781.00
08/20/2024,21:00,5801.00,5803.25,5799.50,5801.75,5761,6031,11792.00
08/20/2024,21:15,5801.50,5810.50,5800.25,5809.75,10770,7947,18717.00
