"Date","Time","Open","High","Low","Close","Vol","OI"
05/08/2023,23:00,322.20,323.82,321.10,323.47,36465796,0
05/09/2023,23:00,321.78,322.66,321.10,321.42,31768800,0
05/10/2023,23:00,323.90,325.79,321.38,324.92,60446623,0
05/11/2023,23:00,325.48,326.53,323.90,325.98,44278548,0
05/12/2023,23:00,326.52,326.95,322.72,324.81,48432836,0
05/15/2023,23:00,325.29,326.81,323.74,326.57,33375559,0
05/16/2023,23:00,325.84,328.69,325.80,326.94,40019151,0
05/17/2023,23:00,328.02,331.49,326.82,330.90,47486124,0
05/18/2023,23:00,331.30,337.27,331.28,337.05,64213466,0
05/19/2023,23:00,337.27,337.99,335.21,336.29,61554926,0
05/22/2023,23:00,336.03,338.45,336.02,337.42,43015948,0
05/23/2023,23:00,335.67,336.84,332.78,333.14,48216663,0
05/24/2023,23:00,331.15,332.69,329.34,331.43,62891169,0
05/25/2023,23:00,338.92,340.79,336.45,339.50,66862773,0
05/26/2023,23:00,340.54,349.03,340.44,348.18,63006952,0
05/30/2023,23:00,352.49,353.71,348.31,349.76,72652156,0
05/31/2023,23:00,348.15,350.38,346.29,347.77,65105378,0
06/01/2023,23:00,347.51,353.14,346.44,351.79,50488601,0
06/02/2023,23:00,353.58,355.61,351.79,354.43,53372113,0
06/05/2023,23:00,354.21,357.28,353.63,354.68,47266228,0
06/06/2023,23:00,354.06,355.60,352.71,354.62,41390400,0
06/07/2023,23:00,354.91,356.90,347.96,348.60,69225936,0
06/08/2023,23:00,348.90,353.40,348.67,352.93,47153922,0
06/09/2023,23:00,354.41,357.44,352.81,354.28,53196927,0
06/12/2023,23:00,355.97,360.37,354.98,360.27,44817646,0
06/13/2023,23:00,363.07,363.89,359.81,363.04,57097804,0
06/14/2023,23:00,363.05,365.97,360.20,365.68,69525642,0
06/15/2023,23:00,364.39,371.55,363.76,370.04,71138823,0
06/16/2023,23:00,372.50,372.63,367.26,367.71,80931971,0
06/20/2023,23:00,365.73,368.10,363.67,366.68,49204722,0
06/21/2023,23:00,365.52,365.96,360.74,361.68,53378256,0
06/22/2023,23:00,360.41,366.11,360.00,365.95,47603043,0
06/23/2023,23:00,361.99,364.66,360.61,362.32,48922911,0
06/26/2023,23:00,361.78,364.62,357.37,357.46,52685478,0
06/27/2023,23:00,359.03,364.35,358.29,363.61,49428091,0
06/28/2023,23:00,361.76,366.30,361.69,364.32,46498031,0
06/29/2023,23:00,364.02,364.67,361.92,363.59,46150967,0
06/30/2023,23:00,367.33,370.27,367.01,369.20,58712501,0
07/03/2023,23:00,369.85,370.71,368.75,370.07,19432862,0
07/05/2023,23:00,368.48,371.79,368.44,370.06,34460883,0
07/06/2023,23:00,366.29,367.69,364.30,367.24,49374728,0
07/07/2023,23:00,367.01,370.26,365.79,366.02,47133749,0
07/10/2023,23:00,365.74,366.83,363.19,366.14,48498800,0
07/11/2023,23:00,366.57,368.42,364.40,367.95,38214146,0
07/12/2023,23:00,372.12,373.97,370.08,372.60,61703696,0
07/13/2023,23:00,375.83,379.77,375.24,378.93,46960012,0
07/14/2023,23:00,379.37,382.64,377.96,378.85,55148500,0
07/17/2023,23:00,379.58,383.28,379.09,382.39,40868915,0
07/18/2023,23:00,381.74,386.91,379.78,385.52,55343438,0
07/19/2023,23:00,386.60,387.76,384.08,385.43,54092958,0
07/20/2023,23:00,382.39,383.88,375.50,376.54,71941674,0
07/21/2023,23:00,378.96,379.70,374.98,375.41,60499643,0
07/24/2023,23:00,376.40,377.36,374.12,376.01,40380056,0
07/25/2023,23:00,376.73,380.25,376.71,378.56,38894384,0
07/26/2023,23:00,377.50,379.02,374.96,377.30,47075710,0
07/27/2023,23:00,382.85,384.49,375.09,376.40,63940225,0
07/28/2023,23:00,380.52,384.30,380.00,383.26,56902926,0
07/31/2023,23:00,383.57,384.66,382.12,383.46,44019905,0
08/01/2023,23:00,382.09,383.34,380.47,382.57,41308457,0
08/02/2023,23:00,379.04,379.04,372.91,374.17,72687107,0
08/03/2023,23:00,371.72,375.73,371.55,373.57,47855381,0
08/04/2023,23:00,375.53,377.88,371.31,371.82,61702759,0
08/07/2023,23:00,373.66,375.07,371.29,374.97,37230444,0
08/08/2023,23:00,372.42,372.44,368.60,371.78,44726453,0
08/09/2023,23:00,372.07,372.23,366.92,367.69,51150900,0
08/10/2023,23:00,370.75,374.14,366.82,368.37,72035265,0
08/11/2023,23:00,365.77,367.78,364.47,366.02,48707187,0
08/14/2023,23:00,365.21,370.25,364.48,370.13,42130802,0
08/15/2023,23:00,369.14,369.95,365.52,366.20,45539891,0
