"Date","Time","Open","High","Low","Close","Vol","OI"
05/08/2015,23:00,108.24,108.70,108.08,108.47,33023337,0
05/15/2015,23:00,108.54,109.79,106.58,109.36,121924381,0
05/22/2015,23:00,109.18,110.65,109.10,110.25,83291498,0
05/29/2015,23:00,110.01,110.86,108.54,109.83,103746527,0
06/05/2015,23:00,110.42,110.59,108.41,109.08,118543348,0
06/12/2015,23:00,109.03,109.93,106.98,108.53,127196896,0
06/19/2015,23:00,107.72,110.66,107.09,109.67,141902361,0
06/26/2015,23:00,110.48,110.91,108.64,109.05,103703061,0
07/03/2015,23:00,107.84,108.44,106.42,107.73,127477226,0
07/10/2015,23:00,107.05,108.10,105.61,107.43,163030133,0
07/17/2015,23:00,108.36,113.37,108.35,113.37,142155189,0
07/24/2015,23:00,113.61,114.17,110.71,110.88,154125841,0
07/31/2015,23:00,110.25,112.27,109.57,111.73,143782187,0
08/07/2015,23:00,111.75,112.78,109.18,110.09,148256243,0
08/14/2015,23:00,110.79,111.59,108.00,110.29,139948461,0
08/21/2015,23:00,110.02,111.24,102.18,102.18,233231454,0
08/28/2015,23:00,94.01,105.78,84.52,105.40,449319276,0
09/04/2015,23:00,104.81,105.39,100.41,101.94,251179918,0
09/11/2015,23:00,103.90,106.09,103.37,105.35,161283072,0
09/18/2015,23:00,105.74,108.51,104.63,105.13,185591967,0
09/25/2015,23:00,105.71,106.33,102.05,102.70,187891749,0
10/02/2015,23:00,102.26,103.79,98.53,103.79,233514442,0
10/09/2015,23:00,104.56,106.51,103.96,106.31,177399501,0
10/16/2015,23:00,106.51,107.96,105.27,107.90,139549143,0
10/23/2015,23:00,107.76,113.02,107.26,112.56,173325814,0
10/30/2015,23:00,112.48,113.86,112.05,113.11,151642953,0
11/06/2015,23:00,113.41,115.25,113.17,114.57,126157332,0
11/13/2015,23:00,114.14,114.29,109.56,109.62,175713602,0
11/20/2015,23:00,109.52,114.35,109.26,114.26,146442263,0
11/27/2015,23:00,114.31,114.72,112.62,114.09,70058513,0
12/04/2015,23:00,114.38,115.53,111.63,114.92,158868244,0
12/11/2015,23:00,115.00,115.07,110.50,110.57,191370790,0
12/18/2015,23:00,110.76,114.26,109.16,109.61,245885490,0
12/25/2015,23:00,110.65,112.68,109.83,112.37,90110289,0
01/01/2016,23:00,112.10,114.33,111.29,111.64,96316240,0
01/08/2016,23:00,109.21,109.96,103.68,103.79,262224228,0
01/15/2016,23:00,104.57,106.01,99.29,100.62,336518661,0
01/22/2016,23:00,101.98,103.59,97.03,103.55,247128730,0
01/29/2016,23:00,103.24,103.95,99.93,103.91,231436736,0
02/05/2016,23:00,103.40,104.58,97.50,97.90,259322888,0
02/12/2016,23:00,96.11,98.47,94.62,97.80,350898865,0
02/19/2016,23:00,99.22,102.62,98.63,101.41,149581746,0
02/26/2016,23:00,102.32,104.15,99.55,103.21,154902236,0
03/04/2016,23:00,103.09,106.13,102.28,105.45,151593521,0
03/11/2016,23:00,104.90,106.27,103.09,106.27,162258643,0
03/18/2016,23:00,105.86,107.64,105.73,107.15,150898627,0
03/25/2016,23:00,106.94,108.15,106.31,107.04,76058968,0
04/01/2016,23:00,107.34,110.18,106.51,110.14,115499742,0
04/08/2016,23:00,110.09,110.49,108.39,108.78,113792087,0
04/15/2016,23:00,109.26,111.11,107.80,110.42,118245887,0
04/22/2016,23:00,110.11,111.22,107.90,108.76,136975807,0
04/29/2016,23:00,108.40,109.17,104.66,105.50,163850955,0
05/06/2016,23:00,105.75,106.65,104.18,105.36,142404385,0
05/13/2016,23:00,105.39,107.27,104.92,105.28,111690301,0
05/20/2016,23:00,105.45,106.99,104.32,106.25,133306670,0
05/27/2016,23:00,106.33,109.92,106.01,109.91,125881704,0
06/03/2016,23:00,110.06,110.38,109.12,109.84,79904175,0
06/10/2016,23:00,110.03,110.53,108.34,108.72,89791994,0
06/17/2016,23:00,108.12,108.71,106.02,106.27,135895145,0
06/24/2016,23:00,107.51,108.57,103.84,104.07,152818015,0
07/01/2016,23:00,103.38,108.26,101.53,107.86,165865252,0
07/08/2016,23:00,107.36,110.14,106.35,110.08,94366792,0
07/15/2016,23:00,110.46,112.08,110.44,111.58,102102709,0
07/22/2016,23:00,111.64,113.56,111.63,113.43,103537285,0
07/29/2016,23:00,113.34,115.32,113.00,115.01,101163025,0
08/05/2016,23:00,115.09,116.82,114.00,116.56,86311599,0
08/12/2016,23:00,116.60,117.15,116.06,116.98,72671879,0
08/19/2016,23:00,117.11,117.75,116.21,117.04,70698788,0
08/26/2016,23:00,116.87,117.79,115.86,116.56,92389432,0
09/02/2016,23:00,116.59,117.34,115.69,116.90,86230909,0
09/09/2016,23:00,117.07,117.90,114.04,114.06,107010709,0
09/16/2016,23:00,113.42,117.60,113.41,117.07,180794715,0
09/23/2016,23:00,117.35,119.00,116.33,118.11,110676046,0
09/30/2016,23:00,117.44,118.85,116.93,118.50,104187342,0
10/07/2016,23:00,118.31,118.95,117.67,118.25,86908679,0
10/14/2016,23:00,118.84,119.26,115.72,116.92,105863923,0
10/21/2016,23:00,116.88,118.19,116.46,117.93,81002317,0
10/28/2016,23:00,118.71,119.44,116.52,116.88,114417560,0
11/04/2016,23:00,117.31,117.31,113.23,113.43,132410809,0
11/11/2016,23:00,115.23,118.16,113.98,115.58,231544169,0
11/18/2016,23:00,115.62,117.88,113.81,117.10,121267925,0
11/25/2016,23:00,117.38,118.97,117.35,118.58,69207927,0
12/02/2016,23:00,118.42,119.29,115.00,115.48,135110779,0
12/09/2016,23:00,116.10,119.32,115.55,119.28,115777023,0
12/16/2016,23:00,118.73,120.89,118.25,119.38,155529402,0
12/23/2016,23:00,119.52,120.61,119.33,119.98,65332223,0
12/30/2016,23:00,120.22,121.30,117.92,118.26,89102336,0
01/06/2017,23:00,119.09,122.03,118.67,121.71,86775241,0
01/13/2017,23:00,121.81,123.15,121.38,122.94,92325162,0
01/20/2017,23:00,122.57,123.61,122.22,123.03,61839845,0
01/27/2017,23:00,122.94,125.71,122.35,125.58,81216390,0
02/03/2017,23:00,125.15,125.59,123.63,125.46,99018241,0
02/10/2017,23:00,125.20,127.34,125.13,127.16,73198810,0
02/17/2017,23:00,127.54,129.60,127.50,129.59,84007001,0
02/24/2017,23:00,129.81,130.48,129.16,130.04,66704016,0
03/03/2017,23:00,129.80,131.46,129.44,130.80,88095215,0
03/10/2017,23:00,130.34,131.38,129.92,131.17,86080977,0
03/17/2017,23:00,131.12,132.19,130.54,131.47,87152223,0
