"Date","Time","Open","High","Low","Close","Vol","OI"
05/08/2015,23:00,210.88,211.86,210.78,211.62,155877260,0
05/15/2015,23:00,211.57,212.61,208.62,212.44,462547705,0
05/22/2015,23:00,212.24,213.78,212.16,212.99,345719905,0
05/29/2015,23:00,212.40,212.98,210.20,211.14,417416736,0
06/05/2015,23:00,211.94,212.67,208.98,209.77,546278167,0
06/12/2015,23:00,209.64,212.09,207.69,210.01,537908121,0
06/19/2015,23:00,208.64,213.34,207.79,210.81,632747684,0
06/26/2015,23:00,211.91,212.59,209.16,209.82,432762343,0
07/03/2015,23:00,208.05,208.82,205.28,207.31,625899963,0
07/10/2015,23:00,205.77,208.17,204.11,207.48,729385674,0
07/17/2015,23:00,208.99,212.55,208.94,212.48,481406355,0
07/24/2015,23:00,212.75,213.18,207.60,208.00,445343896,0
07/31/2015,23:00,206.94,211.45,206.26,210.50,556268413,0
08/07/2015,23:00,210.46,211.31,206.87,207.95,515462127,0
08/14/2015,23:00,209.28,210.67,205.36,209.42,540645506,0
08/21/2015,23:00,208.71,210.68,197.52,197.63,864627649,0
08/28/2015,23:00,187.28,199.84,182.95,199.28,1650892648,0
09/04/2015,23:00,198.11,199.13,190.73,192.59,938737336,0
09/11/2015,23:00,195.94,199.47,194.25,196.74,543675749,0
09/18/2015,23:00,196.95,202.89,194.96,195.45,792543790,0
09/25/2015,23:00,196.44,197.68,190.56,192.85,666841322,0
10/02/2015,23:00,191.78,195.03,186.93,195.00,843095793,0
10/09/2015,23:00,196.46,201.90,196.33,201.33,621027138,0
10/16/2015,23:00,201.42,203.29,198.94,203.27,492262711,0
10/23/2015,23:00,202.50,207.95,201.65,207.51,576364477,0
10/30/2015,23:00,207.30,209.44,205.79,207.93,504447900,0
11/06/2015,23:00,208.32,211.66,208.17,210.04,466621557,0
11/13/2015,23:00,209.31,209.49,202.44,202.54,549621483,0
11/20/2015,23:00,202.32,210.12,202.18,209.31,542343503,0
11/27/2015,23:00,209.38,209.98,207.41,209.56,253103378,0
12/04/2015,23:00,209.75,211.00,204.75,209.62,678260410,0
12/11/2015,23:00,209.23,209.73,201.51,201.88,695103204,0
12/18/2015,23:00,202.07,208.48,199.83,200.02,957957765,0
12/25/2015,23:00,201.41,206.33,200.09,205.68,369649914,0
01/01/2016,23:00,204.86,207.79,203.87,203.87,336736149,0
01/08/2016,23:00,200.49,201.90,191.58,191.92,908565288,0
01/15/2016,23:00,193.01,194.86,185.52,187.81,1147082755,0
01/22/2016,23:00,189.96,190.76,181.02,190.52,845884751,0
01/29/2016,23:00,189.92,193.88,187.06,193.72,811418266,0
02/05/2016,23:00,192.53,194.58,187.10,187.95,844001490,0
02/12/2016,23:00,185.77,188.34,181.09,186.63,870945165,0
02/19/2016,23:00,188.77,193.32,187.63,192.00,473396149,0
02/26/2016,23:00,193.87,196.68,189.32,195.09,606469713,0
03/04/2016,23:00,195.11,201.35,193.33,200.43,594598547,0
03/11/2016,23:00,199.34,202.81,197.38,202.76,613798302,0
03/18/2016,23:00,202.16,205.23,201.05,204.38,568735152,0
03/25/2016,23:00,204.07,205.23,201.74,203.12,335811906,0
04/01/2016,23:00,203.61,207.14,202.40,206.92,450703946,0
04/08/2016,23:00,206.83,207.07,203.09,204.50,463898523,0
04/15/2016,23:00,205.25,208.60,203.70,207.78,436418984,0
04/22/2016,23:00,207.14,210.92,207.00,208.97,436894099,0
04/29/2016,23:00,208.26,209.81,205.03,206.33,459000411,0
05/06/2016,23:00,206.92,208.18,203.88,205.72,417788193,0
05/13/2016,23:00,205.57,208.54,204.38,204.76,419635056,0
05/20/2016,23:00,204.96,207.34,202.78,205.49,536326061,0
05/27/2016,23:00,205.51,210.25,204.99,210.24,350933822,0
06/03/2016,23:00,210.56,210.93,208.86,210.28,344617470,0
06/10/2016,23:00,210.70,212.52,209.43,210.07,379648753,0
06/17/2016,23:00,209.36,210.37,205.59,206.52,618523748,0
06/24/2016,23:00,208.82,210.87,202.72,203.13,686987490,0
07/01/2016,23:00,201.59,210.49,198.65,209.92,816776954,0
07/08/2016,23:00,208.95,212.94,207.06,212.65,425390003,0
07/15/2016,23:00,213.19,216.82,212.95,215.83,460619966,0
07/22/2016,23:00,215.97,217.37,215.63,217.24,301795890,0
07/29/2016,23:00,217.00,217.54,215.62,217.12,354592687,0
08/05/2016,23:00,217.19,218.23,214.57,218.18,338078243,0
08/12/2016,23:00,218.40,218.94,217.23,218.46,282917113,0
08/19/2016,23:00,218.89,219.50,217.02,218.54,306593712,0
08/26/2016,23:00,218.26,219.60,216.25,217.29,378227998,0
09/02/2016,23:00,217.44,218.87,216.03,218.37,391024226,0
09/09/2016,23:00,218.70,219.22,213.25,213.28,428948897,0
09/16/2016,23:00,212.39,216.81,212.31,213.37,786097720,0
09/23/2016,23:00,214.13,217.53,213.03,215.99,410509828,0
09/30/2016,23:00,215.02,217.12,213.62,216.30,501006678,0
10/07/2016,23:00,215.82,216.30,213.99,215.04,428991703,0
10/14/2016,23:00,216.16,216.70,211.21,213.12,450791710,0
10/21/2016,23:00,213.09,214.64,212.17,213.98,364393476,0
10/28/2016,23:00,215.00,215.32,211.71,212.54,420237795,0
11/04/2016,23:00,212.93,213.19,208.38,208.55,487825606,0
11/11/2016,23:00,211.45,218.31,211.30,216.42,750975710,0
11/18/2016,23:00,217.03,219.27,215.72,218.50,407913201,0
11/25/2016,23:00,219.17,221.83,219.00,221.52,234324087,0
12/02/2016,23:00,221.16,221.82,219.15,219.68,417760285,0
12/09/2016,23:00,220.65,226.53,220.42,226.51,427828408,0
12/16/2016,23:00,226.40,228.34,224.67,225.04,639391237,0
12/23/2016,23:00,225.25,226.57,224.92,225.71,341005889,0
12/30/2016,23:00,226.02,226.73,222.73,223.53,264461909,0
01/06/2017,23:00,225.04,227.75,223.88,227.21,320049889,0
01/13/2017,23:00,226.91,227.45,224.96,227.05,320192677,0
01/20/2017,23:00,226.31,227.31,225.41,226.74,311811526,0
01/27/2017,23:00,226.35,229.71,225.27,228.97,374736489,0
02/03/2017,23:00,228.17,229.55,226.32,229.34,384956436,0
02/10/2017,23:00,228.87,231.77,228.31,231.51,299258614,0
02/17/2017,23:00,232.08,235.16,232.05,235.09,376592588,0
02/24/2017,23:00,235.52,236.90,235.41,236.74,308058750,0
03/03/2017,23:00,236.64,240.32,236.02,238.42,454855826,0
03/10/2017,23:00,237.50,238.12,235.74,237.69,379817189,0
03/17/2017,23:00,237.62,239.44,236.19,237.03,381512551,0
03/24/2017,23:00,237.03,237.61,232.96,233.86,496333591,0
03/31/2017,23:00,231.93,236.52,231.61,235.74,373359705,0
04/07/2017,23:00,235.80,237.39,233.91,235.20,394361353,0
04/14/2017,23:00,235.36,236.26,232.51,232.51,330405408,0
04/21/2017,23:00,233.11,235.85,232.88,234.59,423293089,0
04/28/2017,23:00,237.18,239.53,236.61,238.08,401553768,0
05/05/2017,23:00,238.68,239.72,237.70,239.70,320859985,0
05/12/2017,23:00,239.75,240.19,238.13,238.98,270313805,0
05/19/2017,23:00,239.47,240.67,235.43,238.31,513953368,0
05/26/2017,23:00,238.90,242.08,238.82,241.71,272953837,0
06/02/2017,23:00,241.34,244.35,240.64,244.17,294061925,0
06/09/2017,23:00,243.97,245.01,241.95,243.41,350505916,0
06/16/2017,23:00,243.13,244.87,241.63,242.64,377012687,0
06/23/2017,23:00,243.59,244.73,242.41,243.13,294721835,0
06/30/2017,23:00,243.90,244.38,239.96,241.80,406476527,0
07/07/2017,23:00,242.88,243.38,240.34,242.11,220341814,0
07/14/2017,23:00,241.95,245.97,240.85,245.56,250390386,0
07/21/2017,23:00,245.47,247.42,244.67,246.88,267368183,0
07/28/2017,23:00,246.79,248.00,245.68,246.91,272329756,0
08/04/2017,23:00,247.37,247.79,246.37,247.41,272902356,0
08/11/2017,23:00,247.49,248.91,243.70,244.12,353538128,0
08/18/2017,23:00,245.59,247.57,242.20,242.71,450488591,0
08/25/2017,23:00,242.64,245.62,241.83,244.56,294001257,0
09/01/2017,23:00,245.17,248.33,242.93,247.84,319542995,0
09/08/2017,23:00,247.26,247.52,244.95,246.58,271183199,0
09/15/2017,23:00,248.04,250.32,248.02,249.19,378367608,0
09/22/2017,23:00,249.61,250.19,248.92,249.44,252342899,0
09/29/2017,23:00,249.15,251.32,248.08,251.23,322504585,0
10/06/2017,23:00,251.49,254.70,251.29,254.37,325955528,0
10/13/2017,23:00,254.63,255.27,253.65,254.95,228400405,0
10/20/2017,23:00,255.21,257.14,254.35,257.11,261751134,0
10/27/2017,23:00,257.48,257.89,254.00,257.71,389927023,0
11/03/2017,23:00,257.06,258.50,256.19,258.45,284832469,0
11/10/2017,23:00,258.30,259.35,256.36,258.09,312694497,0
11/17/2017,23:00,257.31,259.04,255.63,257.86,335889185,0
11/24/2017,23:00,258.14,260.48,257.86,260.36,190142219,0
12/01/2017,23:00,260.41,266.05,260.00,264.46,521044034,0
12/08/2017,23:00,266.31,266.80,262.71,265.51,401716112,0
12/15/2017,23:00,265.58,267.56,265.39,266.51,516455674,0
12/22/2017,23:00,268.10,268.60,266.69,267.51,388541160,0
12/29/2017,23:00,267.05,268.55,266.64,266.86,244118982,0
01/05/2018,23:00,267.84,273.56,267.40,273.42,340886568,0
01/12/2018,23:00,273.31,278.11,272.92,277.92,337324998,0
01/19/2018,23:00,279.35,280.41,276.18,280.41,461462045,0
01/26/2018,23:00,280.17,286.63,280.11,286.58,515553657,0
02/02/2018,23:00,285.93,286.43,275.41,275.45,604140147,0
02/09/2018,23:00,273.45,275.85,252.92,261.50,1347099518,0
02/16/2018,23:00,263.83,275.32,261.66,273.11,617315722,0
02/23/2018,23:00,272.03,274.72,269.64,274.71,388531120,0
03/02/2018,23:00,275.93,278.92,264.82,269.08,623436632,0
03/09/2018,23:00,267.73,278.87,267.61,278.87,444110537,0
03/16/2018,23:00,279.20,280.41,274.14,274.20,453565520,0
03/23/2018,23:00,273.35,274.40,257.83,258.05,579995958,0
