"Date","Time","Open","High","Low","Close","Up","Down","Volume"
06/02/2025,01:05,5898.50,5906.25,5894.25,5904.75,1750,1766,0.00
06/02/2025,01:10,5905.00,5906.00,5899.75,5904.50,1164,1164,2328.00
06/02/2025,01:15,5904.50,5909.50,5904.25,5907.75,1412,1084,2496.00
06/02/2025,01:20,5908.00,5909.00,5906.50,5906.50,459,624,1083.00
06/02/2025,01:25,5906.75,5907.00,5901.50,5901.75,606,1176,1782.00
06/02/2025,01:30,5902.00,5903.25,5899.25,5902.75,993,889,1882.00
06/02/2025,01:35,5902.50,5903.75,5902.00,5902.75,357,343,700.00
06/02/2025,01:40,5902.50,5905.00,5902.00,5903.00,397,424,821.00
06/02/2025,01:45,5903.00,5903.25,5901.00,5902.50,385,421,806.00
06/02/2025,01:50,5902.50,5904.00,5901.25,5901.25,257,302,559.00
06/02/2025,01:55,5901.25,5901.75,5899.25,5900.00,380,488,868.00
06/02/2025,02:00,5900.00,5902.00,5899.25,5901.50,359,311,670.00
06/02/2025,02:05,5901.50,5901.50,5898.25,5899.75,466,542,1008.00
06/02/2025,02:10,5900.00,5900.50,5898.50,5899.50,342,283,625.00
06/02/2025,02:15,5899.25,5899.50,5896.25,5898.50,429,735,1164.00
06/02/2025,02:20,5898.75,5898.75,5896.00,5897.75,428,469,897.00
06/02/2025,02:25,5897.75,5900.00,5897.00,5899.00,442,392,834.00
06/02/2025,02:30,5898.75,5899.25,5896.00,5896.25,359,484,843.00
06/02/2025,02:35,5896.25,5896.25,5893.25,5895.25,832,1130,1962.00
06/02/2025,02:40,5895.50,5899.75,5895.50,5898.25,820,604,1424.00
06/02/2025,02:45,5898.25,5900.75,5898.00,5900.00,586,383,969.00
06/02/2025,02:50,5900.00,5900.50,5898.50,5900.00,400,277,677.00
06/02/2025,02:55,5899.75,5900.00,5897.25,5897.50,275,347,622.00
06/02/2025,03:00,5897.75,5899.00,5896.50,5898.75,351,276,627.00
06/02/2025,03:05,5898.75,5902.50,5897.50,5901.50,943,605,1548.00
06/02/2025,03:10,5901.25,5902.75,5898.00,5901.75,630,595,1225.00
06/02/2025,03:15,5902.00,5904.75,5901.00,5904.00,698,444,1142.00
06/02/2025,03:20,5904.00,5906.00,5901.25,5901.50,822,844,1666.00
06/02/2025,03:25,5901.75,5904.00,5901.00,5903.00,432,384,816.00
